date,days,cloud_cover,humidity,pressure,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,city,year
2000-01-01,1,8,0.89,1.0286,0.2,0.03,0.0,2.9,1.6,3.9,BASEL,2000
2000-01-02,2,8,0.87,1.0318,0.25,0.0,0.0,3.6,2.7,4.8,BASEL,2000
2000-01-03,3,5,0.81,1.0314,0.5,0.0,3.7,2.2,0.1,4.8,BASEL,2000
2000-01-04,4,7,0.79,1.0262,0.63,0.35,6.9,3.9,0.5,7.5,BASEL,2000
2000-01-05,5,5,0.9,1.0246,0.51,0.07,3.7,6.0,3.8,8.6,BASEL,2000
2000-01-06,6,3,0.85,1.0244,0.56,0.0,5.7,4.2,1.9,6.9,BASEL,2000
2000-01-07,7,8,0.84,1.0267,0.2,0.0,0.0,4.7,1.8,6.2,BASEL,2000
2000-01-08,8,4,0.79,1.0248,0.54,0.0,4.3,5.6,4.1,8.4,BASEL,2000
2000-01-09,9,8,0.88,1.0243,0.11,0.65,0.0,4.6,3.8,5.7,BASEL,2000
2000-01-10,10,8,0.91,1.0337,0.06,0.09,0.0,2.4,1.4,3.8,BASEL,2000
2000-01-11,11,8,0.88,1.0373,0.06,0.0,0.0,3.2,2.6,3.9,BASEL,2000
2000-01-12,12,8,0.77,1.0319,0.1,0.0,0.0,2.4,0.8,3.0,BASEL,2000
2000-01-13,13,1,0.78,1.0226,0.66,0.0,7.5,1.7,-0.2,5.0,BASEL,2000
2000-01-14,14,0,0.8,1.023,0.69,0.0,7.6,0.6,-1.0,3.8,BASEL,2000
2000-01-15,15,6,0.85,1.0311,0.51,0.0,2.8,-1.3,-2.9,1.5,BASEL,2000
2000-01-16,16,7,0.8,1.0346,0.23,0.0,0.3,-0.4,-2.1,1.8,BASEL,2000
2000-01-17,17,8,0.79,1.0328,0.33,0.0,0.1,0.9,-3.2,4.2,BASEL,2000
2000-01-18,18,7,0.83,1.0267,0.18,0.03,0.0,4.5,3.8,5.3,BASEL,2000
2000-01-19,19,7,0.69,1.0307,0.38,0.0,0.7,2.4,-0.7,3.9,BASEL,2000
2000-01-20,20,5,0.72,1.0333,0.53,0.0,3.2,0.4,-2.7,2.9,BASEL,2000
2000-01-21,21,8,0.74,1.0297,0.18,0.0,0.0,2.5,1.6,3.5,BASEL,2000
