date,days,cloud_cover,humidity,pressure,global_radiation,precipitation,sunshine,temp_mean,temp_max,city,year
2000-01-01,1,3,0.92,1.0268,0.52,0.0,3.7,-4.9,-0.7,BUDAPEST,2000
2000-01-02,2,8,0.94,1.0297,0.14,0.0,0.4,-3.6,-1.9,BUDAPEST,2000
2000-01-03,3,6,0.95,1.0295,0.19,0.0,0.0,-0.8,1.1,BUDAPEST,2000
2000-01-04,4,8,0.94,1.0252,0.21,0.0,0.0,-1.0,0.1,BUDAPEST,2000
2000-01-05,5,5,0.88,1.0235,0.43,0.0,0.8,0.2,3.9,BUDAPEST,2000
2000-01-06,6,5,0.89,1.026,0.74,0.0,4.5,-0.9,2.3,BUDAPEST,2000
2000-01-07,7,8,1.0,1.0299,0.18,0.0,0.0,-2.8,-2.1,BUDAPEST,2000
2000-01-08,8,8,0.97,1.0302,0.23,0.0,0.0,-1.2,-0.1,BUDAPEST,2000
2000-01-09,9,8,0.95,1.0289,0.14,0.0,0.0,-1.4,-0.7,BUDAPEST,2000
2000-01-10,10,6,0.89,1.0323,0.27,0.0,0.9,0.0,3.0,BUDAPEST,2000
2000-01-11,11,7,0.86,1.0381,0.43,0.0,0.4,1.3,3.1,BUDAPEST,2000
2000-01-12,12,6,0.78,1.0378,0.22,0.0,4.3,0.3,3.8,BUDAPEST,2000
2000-01-13,13,8,0.95,1.0335,0.39,0.08,0.0,-3.8,-2.4,BUDAPEST,2000
2000-01-14,14,8,0.89,1.0291,0.3,0.0,0.0,-1.7,-0.9,BUDAPEST,2000
2000-01-15,15,7,0.89,1.0297,0.47,0.0,0.0,-0.7,0.9,BUDAPEST,2000
2000-01-16,16,5,0.78,1.0292,0.54,0.0,2.5,-1.0,1.1,BUDAPEST,2000
2000-01-17,17,6,0.79,1.0146,0.21,0.15,1.0,1.6,4.7,BUDAPEST,2000
2000-01-18,18,6,0.85,0.9999,0.41,0.26,0.5,2.1,5.7,BUDAPEST,2000
2000-01-19,19,4,0.75,1.0112,0.6,0.0,7.0,0.6,2.0,BUDAPEST,2000
2000-01-20,20,5,0.79,1.0221,0.63,0.75,3.7,-0.4,1.6,BUDAPEST,2000
2000-01-21,21,6,0.73,1.0076,0.37,0.05,1.6,0.9,4.3,BUDAPEST,2000
2000-01-22,22,6,0.63,1.0174,0.56,0.0,1.4,-4.0,-1.2,BUDAPEST,2000
2000-01-23,23,7,0.67,1.0112,0.34,0.0,0.1,-3.5,-2.6,BUDAPEST,2000
2000-01-24,24,2,0.44,1.0151,0.94,0.0,7.8,-4.4,-2.2,BUDAPEST,2000
2000-01-25,25,0,0.67,1.0264,0.88,0.0,8.1,-6.5,-1.9,BUDAPEST,2000
