date,days,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,city,year,month
2000-01-01,1,7,2.5,8.0,0.97,1.024,0.11,0.1,0.0,6.1,3.5,8.1,DE_BILT,2000,1
2000-01-02,2,8,3.7,9.0,0.97,1.0267,0.11,0.0,0.0,7.3,5.4,8.7,DE_BILT,2000,1
2000-01-03,3,8,6.1,13.0,0.94,1.0203,0.11,0.45,0.0,8.4,6.4,9.6,DE_BILT,2000,1
2000-01-04,4,7,3.8,15.0,0.94,1.0142,0.11,1.09,0.0,6.4,4.3,9.4,DE_BILT,2000,1
2000-01-05,5,3,4.0,12.0,0.9,1.0183,0.48,0.0,6.5,4.4,1.4,7.4,DE_BILT,2000,1
2000-01-06,6,6,5.2,11.0,0.91,1.0152,0.2,0.19,1.0,7.2,4.2,9.1,DE_BILT,2000,1
2000-01-07,7,7,4.8,12.0,0.92,1.0199,0.12,0.0,0.0,6.1,4.3,7.4,DE_BILT,2000,1
2000-01-08,8,6,4.3,12.0,0.94,1.0173,0.19,0.17,0.8,5.4,0.8,8.1,DE_BILT,2000,1
2000-01-09,9,1,1.5,7.0,0.94,1.0257,0.46,0.0,5.7,0.8,-2.6,7.0,DE_BILT,2000,1
2000-01-10,10,3,1.8,5.0,0.97,1.0357,0.47,0.0,5.8,-0.8,-4.0,4.3,DE_BILT,2000,1
2000-01-11,11,6,4.0,8.0,0.87,1.0352,0.33,0.0,2.9,2.1,-1.2,4.4,DE_BILT,2000,1
2000-01-12,12,5,5.4,12.0,0.85,1.0276,0.53,0.0,6.7,0.7,-0.6,2.6,DE_BILT,2000,1
2000-01-13,13,7,4.2,10.0,0.83,1.0173,0.23,0.0,1.3,2.0,-0.9,3.6,DE_BILT,2000,1
2000-01-14,14,8,2.0,5.0,0.98,1.0215,0.13,0.0,0.0,2.9,1.5,4.0,DE_BILT,2000,1
2000-01-15,15,7,2.7,7.0,0.9,1.0351,0.36,0.0,3.3,3.2,2.0,5.4,DE_BILT,2000,1
2000-01-16,16,8,2.6,9.0,0.95,1.0358,0.13,0.03,0.0,5.4,2.7,6.9,DE_BILT,2000,1
2000-01-17,17,7,4.7,13.0,0.93,1.0305,0.19,0.01,0.5,6.4,4.8,7.5,DE_BILT,2000,1
2000-01-18,18,7,6.2,16.0,0.84,1.0269,0.27,0.03,1.6,6.6,4.1,8.6,DE_BILT,2000,1
2000-01-19,19,7,2.9,9.0,0.87,1.0321,0.14,0.01,0.0,3.9,1.3,5.6,DE_BILT,2000,1
2000-01-20,20,7,3.8,11.0,0.87,1.0293,0.14,0.15,0.0,5.2,3.6,6.1,DE_BILT,2000,1
2000-01-21,21,6,3.7,12.0,0.87,1.0257,0.3,0.01,1.9,5.2,2.3,7.8,DE_BILT,2000,1
2000-01-22,22,6,4.0,14.0,0.9,1.0115,0.29,0.53,1.7,4.7,3.0,6.1,DE_BILT,2000,1
2000-01-23,23,6,3.3,11.0,0.85,1.0188,0.24,0.0,0.9,1.1,-4.0,4.4,DE_BILT,2000,1
2000-01-24,24,3,1.7,6.0,0.76,1.0254,0.66,0.0,7.7,-2.8,-7.7,0.9,DE_BILT,2000,1
2000-01-25,25,5,3.1,9.0,0.83,1.0283,0.4,0.0,3.1,0.5,-1.4,2.8,DE_BILT,2000,1
2000-01-26,26,7,3.3,7.0,0.89,1.0313,0.5,0.0,4.5,2.4,-1.1,5.5,DE_BILT,2000,1
2000-01-27,27,7,5.4,11.0,0.86,1.027,0.16,0.0,0.0,2.4,0.5,3.8,DE_BILT,2000,1
2000-01-28,28,7,7.1,18.0,0.86,1.0135,0.16,0.03,0.0,3.2,-0.4,5.9,DE_BILT,2000,1
2000-01-29,29,8,9.4,21.0,0.87,0.9961,0.16,0.95,0.0,9.0,5.5,11.3,DE_BILT,2000,1
2000-01-30,30,7,6.3,18.0,0.82,1.0098,0.18,0.01,0.1,9.1,7.2,10.3,DE_BILT,2000,1
