date,days,cloud_cover,wind_speed,wind_gust,humidity,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,city
2000-01-01,1,8,3.2,7.2,0.89,0.09,0.32,0.0,1.0,-1.8,2.0,DRESDEN
2000-01-02,2,7,4.0,8.8,0.89,0.23,0.0,0.4,2.5,1.4,4.0,DRESDEN
2000-01-03,3,7,5.4,12.1,0.79,0.18,0.0,0.0,4.2,1.3,5.1,DRESDEN
2000-01-04,4,8,6.0,14.4,0.88,0.11,0.22,0.0,4.4,3.4,5.2,DRESDEN
2000-01-05,5,2,5.6,15.8,0.76,0.49,0.0,5.7,1.8,-0.5,6.9,DRESDEN
2000-01-06,6,1,5.2,9.0,0.81,0.55,0.03,7.3,1.5,-2.7,6.3,DRESDEN
2000-01-07,7,5,3.4,6.7,0.93,0.29,0.02,1.0,2.0,-0.1,5.4,DRESDEN
2000-01-08,8,4,4.5,8.4,0.79,0.22,0.0,2.3,3.6,-0.3,5.3,DRESDEN
2000-01-09,9,8,2.7,5.9,0.95,0.09,0.15,0.0,1.9,1.3,4.0,DRESDEN
2000-01-10,10,8,1.8,4.9,0.92,0.29,0.0,0.7,0.6,-1.0,3.7,DRESDEN
2000-01-11,11,3,2.6,6.3,0.84,0.48,0.0,5.6,-0.7,-2.4,3.0,DRESDEN
2000-01-12,12,0,5.0,12.5,0.77,0.6,0.0,7.6,-2.5,-4.8,0.9,DRESDEN
2000-01-13,13,0,7.8,14.5,0.76,0.57,0.0,7.1,-4.4,-5.2,-2.1,DRESDEN
2000-01-14,14,8,4.2,9.1,0.78,0.37,0.0,1.8,-1.7,-5.9,0.0,DRESDEN
2000-01-15,15,8,2.7,7.2,0.92,0.14,0.0,0.0,-1.4,-2.2,-0.8,DRESDEN
2000-01-16,16,8,4.5,12.0,0.92,0.16,0.34,0.0,-0.2,-4.8,1.3,DRESDEN
2000-01-17,17,8,9.2,18.1,0.95,0.08,0.86,0.0,4.8,1.2,5.6,DRESDEN
2000-01-18,18,5,8.2,18.0,0.8,0.28,0.7,1.1,2.2,0.1,5.9,DRESDEN
2000-01-19,19,4,6.0,12.4,0.8,0.41,0.0,1.6,-1.0,-1.9,0.9,DRESDEN
2000-01-20,20,8,8.9,19.7,0.9,0.09,0.62,0.0,1.1,-2.8,2.0,DRESDEN
2000-01-21,21,6,7.6,27.8,0.8,0.3,0.03,0.7,-1.8,-4.3,2.6,DRESDEN
2000-01-22,22,8,3.3,7.3,0.92,0.26,0.23,0.0,-2.2,-4.1,-0.2,DRESDEN
2000-01-23,23,3,3.4,7.9,0.82,0.61,0.0,5.0,-8.2,-10.9,-2.0,DRESDEN
2000-01-24,24,5,3.0,7.5,0.89,0.48,0.04,2.7,-8.2,-13.3,-5.7,DRESDEN
2000-01-25,25,3,3.2,7.6,0.73,0.87,0.0,8.3,-6.9,-11.8,-5.1,DRESDEN
2000-01-26,26,8,7.2,12.1,0.87,0.32,0.02,0.0,-1.0,-7.1,0.0,DRESDEN
2000-01-27,27,8,7.6,13.5,0.83,0.18,0.0,0.0,0.7,0.0,1.3,DRESDEN
2000-01-28,28,8,8.3,14.0,0.61,0.38,0.0,0.8,1.2,-0.7,2.3,DRESDEN
2000-01-29,29,8,10.9,22.2,0.77,0.12,1.27,0.0,5.8,1.4,7.4,DRESDEN
2000-01-30,30,6,8.4,20.7,0.68,0.58,0.29,3.8,4.7,3.1,7.4,DRESDEN
2000-01-31,31,5,9.9,28.2,0.81,0.17,0.58,0.2,7.4,3.4,9.5,DRESDEN
2000-02-01,32,6,5.7,11.8,0.78,0.27,0.01,0.9,6.9,5.0,8.7,DRESDEN
2000-02-02,33,7,6.7,13.1,0.81,0.14,0.28,0.0,6.0,4.8,8.2,DRESDEN
2000-02-03,34,6,8.1,18.1,0.85,0.42,0.04,2.2,3.0,1.7,5.5,DRESDEN
2000-02-04,35,7,7.1,16.4,0.79,0.54,0.21,1.4,5.2,0.9,6.9,DRESDEN
2000-02-05,36,5,6.7,14.9,0.83,0.43,0.0,1.2,8.9,5.6,11.6,DRESDEN
2000-02-06,37,5,3.8,9.6,0.68,0.53,0.0,1.6,10.0,6.5,15.0,DRESDEN
2000-02-07,38,7,6.6,16.5,0.71,0.23,0.05,0.0,7.8,5.5,10.4,DRESDEN
2000-02-08,39,7,9.3,20.9,0.71,0.32,0.5,0.0,10.1,5.9,11.3,DRESDEN
2000-02-09,40,8,10.2,22.7,0.79,0.46,0.16,1.4,4.0,1.6,11.4,DRESDEN
2000-02-10,41,7,6.5,14.0,0.64,0.58,0.27,3.7,5.9,4.2,8.2,DRESDEN
2000-02-11,42,5,4.6,13.9,0.85,0.31,0.0,0.1,2.7,1.0,7.6,DRESDEN
2000-02-12,43,4,4.7,13.0,0.69,1.0,0.02,7.2,2.2,-2.3,6.1,DRESDEN
2000-02-13,44,7,6.0,15.9,0.89,0.29,0.46,0.8,2.4,0.8,5.9,DRESDEN
2000-02-14,45,7,5.8,15.4,0.77,0.42,0.15,0.4,1.1,-0.7,3.9,DRESDEN
2000-02-15,46,8,5.0,15.5,0.91,0.31,0.39,0.3,4.9,-1.0,8.0,DRESDEN
2000-02-16,47,5,5.1,18.2,0.83,0.46,0.11,2.0,1.8,-0.2,6.8,DRESDEN
2000-02-17,48,6,4.5,10.2,0.81,0.59,0.15,2.0,0.5,-1.2,3.1,DRESDEN
2000-02-18,49,7,4.3,11.2,0.76,0.77,0.07,2.6,1.1,-3.7,4.4,DRESDEN
2000-02-19,50,8,2.8,7.4,0.94,0.26,0.66,0.0,2.9,0.3,4.3,DRESDEN
2000-02-20,51,7,3.3,6.4,0.97,0.24,0.16,0.0,-0.4,-1.2,3.3,DRESDEN
2000-02-21,52,5,2.9,7.6,0.87,0.8,0.0,2.5,-2.1,-3.5,0.7,DRESDEN
