date,days,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,city
2000-01-01,1,8,2.5,5.9,0.92,1.024,0.12,0.22,0.0,4.2,2.5,6.9,DUSSELDORF
2000-01-02,2,6,3.0,7.4,0.87,1.0283,0.19,0.0,0.7,6.5,2.7,7.9,DUSSELDORF
2000-01-03,3,7,5.5,14.3,0.78,1.0235,0.12,0.28,0.0,7.7,6.9,9.1,DUSSELDORF
2000-01-04,4,7,6.0,16.8,0.87,1.0162,0.12,0.97,0.0,7.8,6.6,9.2,DUSSELDORF
2000-01-05,5,4,4.5,11.2,0.8,1.0203,0.51,0.0,6.5,5.2,0.4,8.6,DUSSELDORF
2000-01-06,6,6,5.5,12.3,0.83,1.0174,0.34,0.18,2.8,7.6,4.3,10.4,DUSSELDORF
2000-01-07,7,6,4.5,9.4,0.79,1.0219,0.32,0.0,2.5,6.6,4.7,8.7,DUSSELDORF
2000-01-08,8,8,4.7,9.5,0.85,1.0192,0.12,0.12,0.0,6.6,5.4,7.9,DUSSELDORF
2000-01-09,9,6,1.2,5.2,0.94,1.0251,0.12,0.0,0.0,2.5,0.5,6.8,DUSSELDORF
2000-01-10,10,8,1.3,4.3,0.96,1.0359,0.13,0.0,0.0,1.1,0.4,2.4,DUSSELDORF
2000-01-11,11,3,4.4,9.3,0.86,1.0376,0.49,0.0,5.4,0.7,-0.5,2.9,DUSSELDORF
2000-01-12,12,4,5.5,10.7,0.79,1.0304,0.52,0.0,6.0,2.1,-0.9,4.6,DUSSELDORF
2000-01-13,13,6,4.3,9.1,0.73,1.0195,0.13,0.02,0.0,1.3,-0.7,3.5,DUSSELDORF
2000-01-14,14,8,2.2,5.4,0.85,1.0214,0.13,0.0,0.0,3.3,-1.0,4.8,DUSSELDORF
2000-01-15,15,7,2.5,10.1,0.77,1.0334,0.21,0.0,0.6,2.5,1.1,4.2,DUSSELDORF
2000-01-16,16,8,2.6,8.4,0.93,1.0353,0.14,0.23,0.0,4.2,0.7,5.7,DUSSELDORF
2000-01-17,17,8,5.0,10.3,0.9,1.0294,0.14,0.13,0.0,6.2,5.1,7.0,DUSSELDORF
2000-01-18,18,6,7.0,16.2,0.78,1.0245,0.18,0.1,0.2,5.9,4.9,8.1,DUSSELDORF
2000-01-19,19,7,4.3,8.8,0.79,1.0302,0.14,0.02,0.0,4.1,3.7,5.1,DUSSELDORF
2000-01-20,20,7,4.6,12.1,0.87,1.0298,0.17,0.08,0.1,4.0,1.6,5.0,DUSSELDORF
2000-01-21,21,7,5.6,13.7,0.79,1.0248,0.23,0.08,0.6,4.6,3.5,7.2,DUSSELDORF
2000-01-22,22,7,5.3,12.5,0.86,1.0118,0.19,0.52,0.2,4.1,2.6,5.4,DUSSELDORF
2000-01-23,23,6,4.0,9.7,0.83,1.0167,0.15,0.08,0.0,-0.8,-3.4,4.0,DUSSELDORF
2000-01-24,24,3,2.0,6.2,0.66,1.0254,0.71,0.0,8.1,-2.6,-7.3,1.0,DUSSELDORF
2000-01-25,25,5,2.6,5.2,0.66,1.0292,0.6,0.0,5.7,-1.1,-3.9,2.1,DUSSELDORF
2000-01-26,26,7,3.5,6.4,0.72,1.0323,0.16,0.0,0.0,1.4,-2.5,2.8,DUSSELDORF
2000-01-27,27,3,4.8,9.4,0.69,1.029,0.61,0.0,5.6,0.2,-2.7,4.5,DUSSELDORF
2000-01-28,28,6,6.8,14.2,0.69,1.0175,0.19,0.36,0.1,2.5,-3.0,4.2,DUSSELDORF
2000-01-29,29,8,10.6,19.6,0.89,0.9998,0.17,1.64,0.0,8.3,4.0,10.3,DUSSELDORF
2000-01-30,30,7,6.9,21.4,0.81,1.0108,0.17,0.25,0.0,9.4,6.5,10.6,DUSSELDORF
2000-01-31,31,8,8.4,20.8,0.81,1.0199,0.17,0.05,0.0,9.9,9.1,11.0,DUSSELDORF
2000-02-01,32,7,6.3,12.3,0.75,1.0189,0.18,0.03,0.0,8.8,7.3,10.0,DUSSELDORF
2000-02-02,33,5,5.1,10.7,0.84,1.0172,0.41,0.14,2.0,6.4,4.5,9.1,DUSSELDORF
2000-02-03,34,6,4.4,9.4,0.81,1.0311,0.26,0.0,0.4,6.2,4.2,7.8,DUSSELDORF
2000-02-04,35,8,6.3,12.4,0.82,1.0332,0.19,0.31,0.0,7.2,4.9,8.8,DUSSELDORF
2000-02-05,36,1,4.7,8.8,0.62,1.0296,0.78,0.0,7.1,9.2,5.3,13.3,DUSSELDORF
2000-02-06,37,7,5.2,10.6,0.67,1.0209,0.46,0.27,2.3,9.2,6.3,11.0,DUSSELDORF
2000-02-07,38,8,7.9,16.0,0.78,1.0138,0.41,0.1,1.7,8.1,6.8,10.3,DUSSELDORF
2000-02-08,39,7,8.1,22.4,0.78,1.0057,0.2,1.03,0.0,9.6,7.6,12.2,DUSSELDORF
2000-02-09,40,4,7.1,18.2,0.72,1.0186,0.2,0.01,0.0,5.4,2.1,9.5,DUSSELDORF
2000-02-10,41,7,6.6,14.9,0.72,1.0191,0.54,1.0,2.9,6.0,2.1,9.8,DUSSELDORF
2000-02-11,42,1,3.5,7.8,0.77,1.0276,0.94,0.0,8.5,3.0,-1.4,8.0,DUSSELDORF
2000-02-12,43,4,6.5,18.0,0.77,1.0218,0.69,0.25,4.6,3.6,-0.3,8.9,DUSSELDORF
2000-02-13,44,4,5.4,11.7,0.74,1.0176,0.73,0.0,4.9,4.9,2.8,9.2,DUSSELDORF
2000-02-14,45,4,4.0,9.7,0.79,1.0215,0.82,0.53,6.0,4.8,-1.4,8.4,DUSSELDORF
2000-02-15,46,7,3.9,9.7,0.83,1.0134,0.26,0.53,0.1,6.9,4.8,8.5,DUSSELDORF
2000-02-16,47,6,6.7,18.3,0.83,1.0014,0.69,0.3,4.0,2.2,-0.4,5.9,DUSSELDORF
2000-02-17,48,4,5.0,14.0,0.88,1.007,0.39,0.91,0.9,1.7,0.3,5.0,DUSSELDORF
2000-02-18,49,8,5.2,13.8,0.93,1.0041,0.24,0.87,0.0,3.7,0.3,6.7,DUSSELDORF
2000-02-19,50,8,5.8,14.5,0.82,1.0065,0.32,0.25,0.3,4.6,3.3,7.2,DUSSELDORF
2000-02-20,51,3,3.5,13.1,0.78,1.026,0.61,0.0,2.7,1.7,-0.4,7.0,DUSSELDORF
2000-02-21,52,7,2.8,6.5,0.82,1.029,0.46,0.0,1.2,3.0,-4.1,5.2,DUSSELDORF
2000-02-22,53,5,2.3,6.7,0.83,1.0254,0.38,0.0,0.6,2.8,1.0,7.1,DUSSELDORF
2000-02-23,54,4,3.2,7.0,0.75,1.0245,0.87,0.53,5.3,6.6,1.0,9.9,DUSSELDORF
2000-02-24,55,8,4.6,10.3,0.89,1.0217,0.26,2.02,0.0,6.3,5.4,10.0,DUSSELDORF
2000-02-25,56,4,4.1,16.1,0.78,1.0238,0.79,0.07,4.1,3.8,1.8,11.6,DUSSELDORF
2000-02-26,57,3,2.5,5.7,0.74,1.0317,1.15,0.0,8.3,2.4,-1.0,8.6,DUSSELDORF
2000-02-27,58,5,6.4,13.4,0.68,1.0241,1.17,0.0,8.4,8.1,-0.3,12.5,DUSSELDORF
2000-02-28,59,5,7.4,17.0,0.77,1.0134,0.37,0.76,0.3,8.3,5.7,13.2,DUSSELDORF
2000-02-29,60,6,7.7,16.7,0.75,1.0084,0.5,0.55,1.1,7.5,4.4,9.1,DUSSELDORF
2000-03-01,61,7,5.1,14.0,0.84,1.0036,0.5,0.7,0.8,4.9,4.0,8.9,DUSSELDORF
2000-03-02,62,6,7.1,16.4,0.77,1.018,0.9,0.27,3.9,4.7,0.7,7.4,DUSSELDORF
2000-03-03,63,7,8.3,21.2,0.86,1.0051,0.33,0.83,0.0,5.4,3.6,9.5,DUSSELDORF
2000-03-04,64,4,5.9,19.4,0.85,1.0197,0.95,0.05,4.1,1.2,0.4,4.9,DUSSELDORF
