date,days,cloud_cover,humidity,pressure,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,city,year,month
2000-01-01,1,7,0.94,1.0245,0.18,0.0,0.4,7.0,4.9,10.8,HEATHROW,2000,1
2000-01-02,2,7,0.89,1.0253,0.2,0.02,0.7,7.9,5.0,11.5,HEATHROW,2000,1
2000-01-03,3,8,0.91,1.0186,0.13,0.6,0.0,9.4,7.2,9.5,HEATHROW,2000,1
2000-01-04,4,5,0.89,1.0148,0.34,0.02,2.9,7.0,4.4,11.0,HEATHROW,2000,1
2000-01-05,5,5,0.85,1.0142,0.25,0.08,1.3,6.4,1.9,10.8,HEATHROW,2000,1
2000-01-06,6,6,0.84,1.0127,0.2,0.0,0.6,8.9,7.0,11.0,HEATHROW,2000,1
2000-01-07,7,6,0.82,1.0172,0.31,0.2,2.2,7.2,3.4,9.2,HEATHROW,2000,1
2000-01-08,8,4,0.81,1.0165,0.52,0.0,6.4,7.4,5.7,7.2,HEATHROW,2000,1
2000-01-09,9,0,0.84,1.0276,0.55,0.02,7.1,3.2,-0.7,7.8,HEATHROW,2000,1
2000-01-10,10,5,0.86,1.0347,0.4,0.0,3.7,2.2,-3.3,10.2,HEATHROW,2000,1
2000-01-11,11,7,0.85,1.0324,0.16,0.0,0.1,5.4,0.6,8.2,HEATHROW,2000,1
2000-01-12,12,7,0.81,1.0234,0.14,0.28,0.0,8.0,7.8,5.0,HEATHROW,2000,1
2000-01-13,13,7,0.87,1.0154,0.14,0.02,0.0,3.8,2.7,6.3,HEATHROW,2000,1
2000-01-14,14,6,0.86,1.0233,0.45,0.03,4.2,2.9,-0.5,6.7,HEATHROW,2000,1
2000-01-15,15,6,0.86,1.0364,0.25,0.0,0.9,4.6,2.6,7.2,HEATHROW,2000,1
2000-01-16,16,6,0.83,1.0405,0.44,0.0,3.9,4.7,2.2,8.6,HEATHROW,2000,1
2000-01-17,17,5,0.91,1.0379,0.44,0.0,3.8,4.4,0.3,8.4,HEATHROW,2000,1
2000-01-18,18,6,0.88,1.0354,0.15,0.02,0.0,4.8,1.2,7.3,HEATHROW,2000,1
2000-01-19,19,6,0.83,1.037,0.24,0.0,0.6,5.4,3.6,5.3,HEATHROW,2000,1
2000-01-20,20,6,0.9,1.0349,0.16,0.0,0.0,1.6,-2.2,9.2,HEATHROW,2000,1
2000-01-21,21,5,0.8,1.0328,0.59,0.02,6.2,5.0,0.7,7.8,HEATHROW,2000,1
2000-01-22,22,5,0.75,1.0207,0.36,0.12,2.1,5.2,2.6,7.3,HEATHROW,2000,1
2000-01-23,23,5,0.75,1.0242,0.57,0.0,5.4,4.0,0.8,5.8,HEATHROW,2000,1
