date,days,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,city,year
2000-01-01,1,2.5,8.2,0.93,1.0237,0.06,0.13,0.0,3.5,1.5,5.0,KASSEL,2000
2000-01-02,2,2.9,9.6,0.92,1.029,0.33,0.0,2.9,2.3,0.3,4.7,KASSEL,2000
2000-01-03,3,4.8,11.9,0.9,1.0251,0.2,0.01,0.0,3.5,2.2,4.6,KASSEL,2000
2000-01-04,4,4.5,12.7,0.94,1.0174,0.06,0.44,0.0,4.8,3.5,5.6,KASSEL,2000
2000-01-05,5,2.4,8.8,0.84,1.021,0.48,0.0,6.7,2.3,0.2,6.3,KASSEL,2000
2000-01-06,6,3.7,11.8,0.94,1.0197,0.08,0.0,0.0,3.6,0.4,4.4,KASSEL,2000
2000-01-07,7,3.0,7.8,0.92,1.0226,0.23,0.0,1.4,4.4,3.5,6.6,KASSEL,2000
2000-01-08,8,3.6,10.4,0.87,1.0203,0.17,0.0,0.0,4.2,2.8,5.1,KASSEL,2000
2000-01-09,9,1.9,6.6,0.89,1.0241,0.27,0.0,0.5,3.4,1.7,6.4,KASSEL,2000
2000-01-10,10,1.3,5.2,0.81,1.0348,0.34,0.0,2.7,1.8,0.7,4.5,KASSEL,2000
2000-01-11,11,2.4,9.0,0.9,1.0382,0.44,0.0,3.8,-0.7,-4.1,1.5,KASSEL,2000
2000-01-12,12,4.5,11.3,0.89,1.0318,0.09,0.0,0.0,-0.1,-0.6,1.1,KASSEL,2000
2000-01-13,13,3.5,11.6,0.85,1.0219,0.11,0.0,0.0,-1.3,-2.2,-0.5,KASSEL,2000
2000-01-14,14,2.0,6.2,0.88,1.0222,0.1,0.0,0.0,1.2,-0.9,2.0,KASSEL,2000
2000-01-15,15,1.8,8.7,0.81,1.0321,0.17,0.0,0.0,0.9,0.3,2.8,KASSEL,2000
2000-01-16,16,1.8,6.6,0.95,1.0332,0.16,0.05,0.0,1.4,-1.4,2.9,KASSEL,2000
2000-01-17,17,4.2,17.6,0.9,1.0234,0.13,0.0,0.0,5.9,2.6,6.3,KASSEL,2000
2000-01-18,18,5.6,20.7,0.83,1.0181,0.23,0.42,0.4,3.6,2.1,6.2,KASSEL,2000
2000-01-19,19,1.7,8.3,0.83,1.0278,0.41,0.0,2.5,-0.1,-1.5,3.5,KASSEL,2000
2000-01-20,20,2.3,11.5,0.9,1.0262,0.1,0.55,0.0,2.5,-2.7,3.3,KASSEL,2000
2000-01-21,21,4.1,17.4,0.8,1.02,0.26,0.16,0.7,1.8,0.2,4.3,KASSEL,2000
2000-01-22,22,2.0,6.6,0.96,1.0104,0.12,0.82,0.0,0.7,0.0,2.1,KASSEL,2000
2000-01-23,23,2.7,8.7,0.78,1.0163,0.48,0.09,3.6,-4.4,-7.2,0.9,KASSEL,2000
2000-01-24,24,1.0,5.0,0.83,1.0256,0.66,0.0,5.8,-6.5,-10.3,-2.3,KASSEL,2000
2000-01-25,25,2.3,6.6,0.83,1.0295,0.72,0.0,7.7,-6.2,-10.1,-2.1,KASSEL,2000
2000-01-26,26,3.8,8.5,0.86,1.0315,0.29,0.02,0.0,-2.8,-7.0,-1.3,KASSEL,2000
2000-01-27,27,3.4,8.3,0.89,1.0284,0.16,0.0,0.0,-1.6,-2.3,-0.4,KASSEL,2000
2000-01-28,28,4.5,10.7,0.7,1.0182,0.36,0.01,1.7,-0.8,-5.6,0.7,KASSEL,2000
2000-01-29,29,5.1,14.2,0.93,0.9991,0.09,1.5,0.0,5.7,0.7,8.2,KASSEL,2000
2000-01-30,30,3.7,15.5,0.76,1.0084,0.48,0.21,1.9,6.5,4.7,8.0,KASSEL,2000
2000-01-31,31,3.3,15.3,0.89,1.0178,0.18,0.18,0.0,8.3,6.8,10.6,KASSEL,2000
2000-02-01,32,3.2,10.8,0.83,1.018,0.39,0.02,1.0,6.9,6.1,10.0,KASSEL,2000
2000-02-02,33,3.2,11.3,0.85,1.0153,0.17,0.2,0.0,6.2,4.9,8.0,KASSEL,2000
2000-02-03,34,3.3,10.8,0.79,1.0283,0.51,0.14,2.7,4.4,3.4,7.4,KASSEL,2000
2000-02-04,35,3.2,10.2,0.92,1.0324,0.12,0.15,0.0,4.8,1.2,6.6,KASSEL,2000
2000-02-05,36,3.1,7.6,0.82,1.0295,0.62,0.0,3.8,6.9,4.5,10.5,KASSEL,2000
2000-02-06,37,3.8,9.6,0.69,1.0214,0.66,0.0,4.1,8.3,5.4,11.3,KASSEL,2000
2000-02-07,38,4.4,14.0,0.77,1.014,0.45,0.23,2.1,7.4,6.2,9.4,KASSEL,2000
2000-02-08,39,4.6,20.6,0.75,1.0046,0.21,0.48,0.0,8.6,5.5,11.0,KASSEL,2000
2000-02-09,40,4.6,16.7,0.75,1.0154,0.55,0.0,1.9,4.8,1.4,8.8,KASSEL,2000
