date,days,cloud_cover,wind_speed,humidity,pressure,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,city,year
2000-01-01,1,6,0.4,0.83,1.0294,0.57,0.0,5.2,-4.8,-9.1,-1.3,LJUBLJANA,2000
2000-01-02,2,6,0.4,0.76,1.031,0.59,0.0,5.0,-0.9,-4.9,2.0,LJUBLJANA,2000
2000-01-03,3,6,0.3,0.83,1.0309,0.51,0.0,2.4,-0.3,-1.8,3.3,LJUBLJANA,2000
2000-01-04,4,2,0.4,0.88,1.0262,0.7,0.0,3.5,-3.6,-6.1,0.4,LJUBLJANA,2000
2000-01-05,5,4,0.6,0.85,1.0271,0.57,0.0,4.6,-3.0,-6.1,1.1,LJUBLJANA,2000
2000-01-06,6,6,0.4,0.89,1.0283,0.53,0.0,4.5,-3.8,-6.0,-0.4,LJUBLJANA,2000
2000-01-07,7,4,0.5,0.93,1.0303,0.46,0.0,3.5,-3.6,-6.2,-1.2,LJUBLJANA,2000
2000-01-08,8,3,0.6,0.85,1.0292,0.64,0.0,5.6,-3.2,-6.5,0.9,LJUBLJANA,2000
2000-01-09,9,8,0.6,0.88,1.0281,0.15,0.0,0.0,-2.4,-4.5,-1.5,LJUBLJANA,2000
2000-01-10,10,8,1.2,0.87,1.0352,0.21,0.01,0.0,-1.2,-1.9,-0.3,LJUBLJANA,2000
2000-01-11,11,6,0.4,0.85,1.0392,0.25,0.0,0.0,-0.2,-1.2,2.0,LJUBLJANA,2000
2000-01-12,12,6,1.0,0.74,1.0361,0.66,0.0,5.6,-0.2,-3.2,2.9,LJUBLJANA,2000
2000-01-13,13,8,0.9,0.76,1.0299,0.28,0.0,0.0,-1.0,-1.9,-0.2,LJUBLJANA,2000
2000-01-14,14,7,0.9,0.75,1.0278,0.33,0.0,0.0,-0.6,-2.8,0.9,LJUBLJANA,2000
2000-01-15,15,8,0.9,0.86,1.0299,0.14,0.0,0.0,-1.0,-2.4,0.1,LJUBLJANA,2000
2000-01-16,16,6,1.3,0.8,1.0321,0.24,0.0,0.0,-1.4,-2.0,0.4,LJUBLJANA,2000
2000-01-17,17,3,0.8,0.83,1.0178,0.55,0.0,3.4,-3.5,-7.2,-0.4,LJUBLJANA,2000
2000-01-18,18,4,0.9,0.73,1.0068,0.92,0.04,7.4,1.0,-5.8,12.4,LJUBLJANA,2000
2000-01-19,19,1,2.2,0.46,1.0192,0.94,0.0,7.7,1.8,-1.9,7.8,LJUBLJANA,2000
2000-01-20,20,3,0.4,0.62,1.0268,0.69,0.0,4.2,-1.1,-5.0,3.8,LJUBLJANA,2000
2000-01-21,21,2,2.1,0.55,1.0137,0.89,0.0,7.9,4.1,-5.6,9.6,LJUBLJANA,2000
2000-01-22,22,8,1.3,0.7,1.0178,0.26,0.17,0.0,-3.4,-4.4,6.8,LJUBLJANA,2000
2000-01-23,23,6,1.1,0.74,1.0094,0.76,0.17,5.4,-2.3,-5.8,1.4,LJUBLJANA,2000
2000-01-24,24,3,2.4,0.52,1.0199,1.02,0.0,8.0,-3.7,-5.2,0.0,LJUBLJANA,2000
2000-01-25,25,1,1.0,0.63,1.0309,0.99,0.0,8.0,-7.7,-13.2,-1.8,LJUBLJANA,2000
2000-01-26,26,0,0.6,0.7,1.033,0.96,0.0,8.0,-7.9,-14.0,-1.0,LJUBLJANA,2000
2000-01-27,27,0,0.5,0.64,1.0303,0.97,0.0,8.0,-3.8,-11.6,4.0,LJUBLJANA,2000
2000-01-28,28,2,0.9,0.76,1.0261,0.84,0.0,6.2,-2.9,-8.8,4.4,LJUBLJANA,2000
2000-01-29,29,7,1.2,0.72,1.0192,0.44,0.0,0.0,1.5,-5.5,5.1,LJUBLJANA,2000
2000-01-30,30,6,2.0,0.71,1.0167,0.87,0.0,5.4,4.6,2.0,9.6,LJUBLJANA,2000
2000-01-31,31,5,1.6,0.83,1.025,0.41,0.0,0.6,4.5,-1.0,10.4,LJUBLJANA,2000
2000-02-01,32,7,1.1,0.8,1.0279,0.49,0.0,1.2,5.9,-1.7,10.4,LJUBLJANA,2000
2000-02-02,33,6,2.5,0.74,1.0204,0.61,0.0,3.0,8.1,6.1,10.2,LJUBLJANA,2000
2000-02-03,34,2,1.2,0.66,1.0269,0.99,0.0,7.7,6.2,1.1,13.5,LJUBLJANA,2000
2000-02-04,35,1,0.9,0.66,1.0387,1.1,0.0,8.4,3.0,-1.7,9.5,LJUBLJANA,2000
2000-02-05,36,3,1.3,0.67,1.0331,1.02,0.0,7.8,5.9,-0.9,13.3,LJUBLJANA,2000
2000-02-06,37,1,0.5,0.71,1.0289,1.07,0.0,8.2,6.4,0.4,15.8,LJUBLJANA,2000
2000-02-07,38,3,2.2,0.7,1.0227,1.01,0.0,8.3,6.1,-1.1,14.5,LJUBLJANA,2000
2000-02-08,39,8,1.5,0.8,1.0185,0.13,0.04,0.0,6.5,2.6,9.1,LJUBLJANA,2000
2000-02-09,40,6,1.2,0.69,1.0175,0.24,0.0,0.0,6.8,6.0,8.9,LJUBLJANA,2000
2000-02-10,41,1,1.0,0.65,1.0272,1.15,0.0,8.5,3.6,-2.6,11.0,LJUBLJANA,2000
2000-02-11,42,2,0.5,0.73,1.0274,0.97,0.0,4.0,2.4,-2.9,8.0,LJUBLJANA,2000
2000-02-12,43,8,0.6,0.8,1.0272,0.47,0.17,0.4,3.9,2.1,6.8,LJUBLJANA,2000
2000-02-13,44,3,0.7,0.85,1.0232,0.96,0.0,5.5,2.7,-0.1,7.8,LJUBLJANA,2000
2000-02-14,45,2,0.7,0.76,1.0221,1.22,0.0,8.4,3.3,-1.9,9.1,LJUBLJANA,2000
2000-02-15,46,6,1.1,0.67,1.0209,0.93,0.01,5.3,4.1,-0.6,8.8,LJUBLJANA,2000
2000-02-16,47,8,1.3,0.93,1.0088,0.42,3.24,0.0,1.6,0.6,5.0,LJUBLJANA,2000
2000-02-17,48,6,0.8,0.88,1.0068,0.84,0.0,4.4,1.0,0.0,5.2,LJUBLJANA,2000
2000-02-18,49,6,0.8,0.68,1.0151,0.95,0.0,4.6,1.2,-3.9,5.4,LJUBLJANA,2000
2000-02-19,50,5,0.6,0.79,1.0098,0.77,0.0,3.0,1.7,-2.9,8.0,LJUBLJANA,2000
2000-02-20,51,5,0.8,0.83,1.017,1.05,0.0,4.8,2.7,-1.2,8.1,LJUBLJANA,2000
2000-02-21,52,2,1.2,0.63,1.0264,1.2,0.0,7.6,1.7,-1.7,7.5,LJUBLJANA,2000
2000-02-22,53,2,0.9,0.61,1.0278,1.45,0.0,8.4,-0.3,-4.9,4.8,LJUBLJANA,2000
2000-02-23,54,2,0.7,0.66,1.0275,1.47,0.0,8.4,1.4,-5.1,7.9,LJUBLJANA,2000
2000-02-24,55,4,1.1,0.6,1.0304,1.32,0.0,7.0,3.1,-3.5,8.5,LJUBLJANA,2000
2000-02-25,56,6,3.2,0.57,1.0269,1.16,0.0,5.6,5.8,1.1,10.3,LJUBLJANA,2000
2000-02-26,57,8,0.5,0.79,1.0334,0.58,0.0,0.2,3.8,-0.8,7.9,LJUBLJANA,2000
2000-02-27,58,1,0.7,0.71,1.0332,1.44,0.0,8.6,5.1,-0.7,12.3,LJUBLJANA,2000
2000-02-28,59,0,1.3,0.65,1.0331,1.45,0.0,8.3,5.8,-2.1,13.4,LJUBLJANA,2000
2000-02-29,60,6,2.6,0.69,1.0257,0.57,0.22,1.4,7.5,3.8,11.1,LJUBLJANA,2000
2000-03-01,61,8,2.1,0.9,1.0094,0.14,3.84,0.0,4.7,2.7,8.2,LJUBLJANA,2000
2000-03-02,62,3,1.7,0.5,1.0155,1.38,0.0,6.2,5.6,1.4,11.9,LJUBLJANA,2000
2000-03-03,63,4,1.7,0.59,1.0197,1.54,0.0,7.4,5.4,-2.7,11.5,LJUBLJANA,2000
2000-03-04,64,8,1.8,0.82,1.0154,0.13,0.04,0.0,6.3,4.4,8.6,LJUBLJANA,2000
2000-03-05,65,2,2.4,0.51,1.0293,1.9,0.0,9.9,3.4,0.4,9.0,LJUBLJANA,2000
2000-03-06,66,1,3.4,0.61,1.0344,1.83,0.0,10.2,4.1,-3.5,10.5,LJUBLJANA,2000
2000-03-07,67,1,2.7,0.59,1.0279,1.81,0.0,9.6,6.6,-1.2,13.2,LJUBLJANA,2000
2000-03-08,68,4,2.5,0.67,1.0256,1.53,0.0,6.7,8.2,-0.6,14.7,LJUBLJANA,2000
2000-03-09,69,4,3.4,0.69,1.0201,1.54,0.0,7.4,10.7,4.8,16.8,LJUBLJANA,2000
2000-03-10,70,5,1.8,0.62,1.02,1.55,0.0,7.3,11.1,3.1,18.3,LJUBLJANA,2000
2000-03-11,71,7,2.2,0.7,1.0181,0.4,0.0,0.3,9.7,4.8,11.7,LJUBLJANA,2000
2000-03-12,72,2,1.9,0.57,1.0222,1.83,0.0,9.3,10.2,3.0,18.2,LJUBLJANA,2000
2000-03-13,73,1,1.2,0.61,1.0255,1.82,0.0,10.2,8.7,1.2,16.3,LJUBLJANA,2000
2000-03-14,74,2,3.0,0.58,1.0224,1.75,0.01,9.0,8.9,1.1,16.9,LJUBLJANA,2000
2000-03-15,75,6,1.9,0.75,1.0184,1.03,0.0,3.1,7.5,4.6,12.7,LJUBLJANA,2000
2000-03-16,76,6,2.0,0.72,1.0198,1.14,0.07,4.2,5.0,-1.3,11.9,LJUBLJANA,2000
2000-03-17,77,6,3.2,0.75,1.0167,1.43,0.01,7.2,4.5,0.8,15.0,LJUBLJANA,2000
2000-03-18,78,2,2.3,0.51,1.0207,2.17,0.0,10.8,5.9,1.1,13.1,LJUBLJANA,2000
2000-03-19,79,6,1.5,0.72,1.0252,1.22,0.0,3.8,3.2,-2.2,7.8,LJUBLJANA,2000
2000-03-20,80,4,1.0,0.62,1.025,2.03,0.0,9.5,5.0,-1.4,11.0,LJUBLJANA,2000
2000-03-21,81,2,1.2,0.53,1.0225,2.13,0.0,10.9,7.9,1.0,15.1,LJUBLJANA,2000
2000-03-22,82,1,2.3,0.57,1.0213,2.13,0.0,10.9,9.1,-0.5,18.1,LJUBLJANA,2000
2000-03-23,83,2,2.4,0.54,1.018,2.1,0.0,10.7,10.8,0.6,18.9,LJUBLJANA,2000
2000-03-24,84,8,2.5,0.55,1.0158,0.95,0.01,0.1,11.5,8.9,14.7,LJUBLJANA,2000
2000-03-25,85,7,2.2,0.74,1.0179,1.14,0.0,1.0,11.0,6.1,15.2,LJUBLJANA,2000
2000-03-26,86,7,0.5,0.91,1.014,0.48,0.6,0.4,9.1,6.8,12.2,LJUBLJANA,2000
2000-03-27,87,8,1.6,0.89,1.0059,0.68,1.77,0.3,7.6,6.7,10.6,LJUBLJANA,2000
2000-03-28,88,6,1.3,0.75,1.012,1.35,0.38,4.8,8.9,4.2,13.8,LJUBLJANA,2000
2000-03-29,89,7,1.2,0.93,1.0113,0.16,4.43,0.0,6.6,5.7,8.8,LJUBLJANA,2000
2000-03-30,90,6,2.0,0.72,1.0101,1.15,0.08,4.9,7.7,4.3,12.5,LJUBLJANA,2000
2000-03-31,91,4,2.3,0.6,1.0108,2.01,0.0,10.9,10.2,6.2,15.7,LJUBLJANA,2000
2000-04-01,92,8,0.9,0.91,1.0062,0.39,1.49,0.2,5.5,5.2,9.5,LJUBLJANA,2000
2000-04-02,93,6,2.3,0.73,1.0109,1.79,0.0,5.9,9.2,3.2,14.7,LJUBLJANA,2000
2000-04-03,94,8,1.2,0.76,1.0057,0.56,0.07,0.6,9.5,7.0,12.1,LJUBLJANA,2000
2000-04-04,95,6,1.4,0.76,1.0003,1.19,0.02,2.3,11.5,8.1,16.7,LJUBLJANA,2000
2000-04-05,96,7,2.1,0.69,0.9991,1.5,0.15,4.5,12.6,6.1,18.5,LJUBLJANA,2000
2000-04-06,97,7,1.9,0.69,1.0149,1.56,0.21,3.4,10.1,7.5,17.2,LJUBLJANA,2000
2000-04-07,98,1,0.9,0.52,1.0246,2.62,0.0,11.9,7.8,0.0,13.7,LJUBLJANA,2000
2000-04-08,99,4,1.2,0.56,1.0223,2.25,0.0,11.5,9.4,1.5,16.0,LJUBLJANA,2000
2000-04-09,100,5,2.1,0.57,1.0159,1.99,0.0,7.1,10.4,5.5,16.1,LJUBLJANA,2000
2000-04-10,101,7,1.2,0.65,1.0108,1.3,0.08,0.5,9.8,6.4,13.2,LJUBLJANA,2000
2000-04-11,102,7,1.2,0.81,1.0035,1.03,0.43,0.4,10.2,7.2,13.3,LJUBLJANA,2000
2000-04-12,103,6,2.4,0.76,1.0002,1.06,0.45,2.8,11.6,8.7,14.4,LJUBLJANA,2000
2000-04-13,104,7,1.7,0.68,1.0063,1.1,0.09,3.6,13.0,9.5,17.0,LJUBLJANA,2000
2000-04-14,105,6,3.0,0.65,1.0093,1.28,0.0,4.5,13.6,11.3,17.7,LJUBLJANA,2000
2000-04-15,106,6,1.3,0.8,1.0052,1.25,0.23,6.3,13.2,9.0,17.7,LJUBLJANA,2000
2000-04-16,107,4,1.9,0.64,1.0093,2.29,0.02,9.7,13.5,9.0,19.6,LJUBLJANA,2000
2000-04-17,108,4,1.0,0.61,1.0069,2.4,0.16,11.6,16.3,6.7,24.2,LJUBLJANA,2000
2000-04-18,109,6,0.9,0.66,1.0059,1.52,0.38,4.9,16.5,10.0,22.3,LJUBLJANA,2000
2000-04-19,110,6,0.7,0.65,1.0068,1.96,0.01,7.8,17.0,10.0,24.0,LJUBLJANA,2000
