date,days,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,city,year
2000-01-01,1,8,3.1,7.0,0.98,1.0251,0.06,0.17,0.0,5.6,4.1,6.9,MAASTRICHT,2000
2000-01-02,2,7,3.8,9.0,0.95,1.0286,0.14,0.0,0.0,6.2,4.2,7.5,MAASTRICHT,2000
2000-01-03,3,7,7.4,14.0,0.87,1.0236,0.15,0.02,0.9,6.8,6.1,7.9,MAASTRICHT,2000
2000-01-04,4,8,7.2,15.0,0.92,1.0165,0.07,1.33,0.0,7.3,6.1,9.0,MAASTRICHT,2000
2000-01-05,5,4,4.1,10.0,0.87,1.0205,0.44,0.0,6.2,5.2,0.6,8.4,MAASTRICHT,2000
2000-01-06,6,6,5.3,12.0,0.86,1.0178,0.33,0.26,2.7,7.3,3.3,10.3,MAASTRICHT,2000
2000-01-07,7,6,6.0,14.0,0.86,1.0223,0.32,0.0,3.3,6.6,4.6,7.8,MAASTRICHT,2000
2000-01-08,8,7,4.8,11.0,0.91,1.0196,0.19,0.09,0.9,5.9,4.6,7.3,MAASTRICHT,2000
2000-01-09,9,6,1.8,4.0,0.95,1.0261,0.36,0.0,3.4,4.0,-0.4,6.1,MAASTRICHT,2000
2000-01-10,10,7,1.7,4.0,1.0,1.0366,0.21,0.0,0.0,-0.3,-3.1,2.1,MAASTRICHT,2000
2000-01-11,11,3,3.5,8.0,0.92,1.0375,0.61,0.0,6.7,-0.2,-3.4,3.5,MAASTRICHT,2000
2000-01-12,12,5,5.1,10.0,0.86,1.0299,0.52,0.0,7.2,0.4,-2.2,3.8,MAASTRICHT,2000
2000-01-13,13,8,4.4,10.0,0.78,1.0188,0.21,0.0,2.1,1.9,0.7,3.3,MAASTRICHT,2000
2000-01-14,14,8,2.7,6.0,0.93,1.0219,0.14,0.0,0.0,2.8,1.5,3.4,MAASTRICHT,2000
2000-01-15,15,8,3.3,9.0,0.88,1.0341,0.1,0.0,0.7,2.4,0.4,5.1,MAASTRICHT,2000
2000-01-16,16,8,2.5,7.0,0.96,1.0363,0.11,0.17,0.0,2.5,-0.8,5.0,MAASTRICHT,2000
2000-01-17,17,8,4.5,10.0,0.96,1.0314,0.12,0.09,0.3,5.5,4.3,7.1,MAASTRICHT,2000
2000-01-18,18,8,5.8,15.0,0.9,1.0269,0.13,0.17,0.2,5.7,3.8,7.7,MAASTRICHT,2000
2000-01-19,19,7,3.5,7.0,0.86,1.0319,0.16,0.0,0.0,3.6,2.7,4.8,MAASTRICHT,2000
2000-01-20,20,8,3.9,10.0,0.93,1.0309,0.13,0.04,0.0,3.3,2.4,4.4,MAASTRICHT,2000
2000-01-21,21,8,4.1,12.0,0.94,1.0264,0.13,0.46,0.2,4.4,3.4,6.3,MAASTRICHT,2000
2000-01-22,22,7,5.2,16.0,0.95,1.0128,0.15,0.53,0.0,3.2,1.9,5.1,MAASTRICHT,2000
2000-01-23,23,7,4.4,11.0,0.9,1.0175,0.08,0.06,0.0,1.0,-4.4,3.4,MAASTRICHT,2000
