date,days,wind_speed,humidity,pressure,global_radiation,precipitation,temp_mean,temp_min,temp_max,city,year,month
2000-01-01,1,3.8,0.85,1.0269,0.3,0.0,5.5,2.5,8.5,MONTELIMAR,2000,1
2000-01-02,2,5.8,0.82,1.0287,0.54,0.0,8.3,6.8,9.8,MONTELIMAR,2000,1
2000-01-03,3,0.4,0.92,1.0316,0.53,0.0,3.2,-2.1,8.5,MONTELIMAR,2000,1
2000-01-04,4,1.1,0.85,1.0274,0.64,0.0,7.2,2.3,12.1,MONTELIMAR,2000,1
2000-01-05,5,3.4,0.82,1.0234,0.7,0.0,8.2,1.5,14.8,MONTELIMAR,2000,1
2000-01-06,6,0.5,0.91,1.0249,0.35,0.0,5.6,0.0,11.3,MONTELIMAR,2000,1
2000-01-07,7,3.8,0.81,1.025,0.66,0.0,6.6,1.3,12.0,MONTELIMAR,2000,1
2000-01-08,8,2.4,0.89,1.0248,0.52,0.0,4.5,1.6,7.3,MONTELIMAR,2000,1
2000-01-09,9,1.9,0.94,1.0245,0.2,0.5,4.8,2.5,7.2,MONTELIMAR,2000,1
2000-01-10,10,7.0,0.77,1.0312,0.44,0.0,6.4,5.5,7.4,MONTELIMAR,2000,1
2000-01-11,11,5.6,0.78,1.0349,0.53,0.0,5.9,4.8,7.0,MONTELIMAR,2000,1
2000-01-12,12,2.5,0.84,1.0296,0.6,0.0,6.0,3.9,8.0,MONTELIMAR,2000,1
2000-01-13,13,1.0,0.89,1.0223,0.27,0.0,3.2,-1.0,7.5,MONTELIMAR,2000,1
2000-01-14,14,2.2,0.79,1.0195,0.71,0.0,4.0,-1.1,9.0,MONTELIMAR,2000,1
2000-01-15,15,6.0,0.73,1.0253,0.57,0.0,6.2,4.4,7.9,MONTELIMAR,2000,1
2000-01-16,16,8.8,0.67,1.0286,0.29,0.0,2.5,1.6,3.4,MONTELIMAR,2000,1
2000-01-17,17,9.9,0.74,1.0279,0.58,0.0,3.8,0.7,7.0,MONTELIMAR,2000,1
2000-01-18,18,11.8,0.69,1.0213,0.23,0.0,6.4,4.4,8.5,MONTELIMAR,2000,1
2000-01-19,19,10.0,0.57,1.0243,0.87,0.0,6.6,5.2,7.9,MONTELIMAR,2000,1
2000-01-20,20,7.4,0.68,1.0302,0.84,0.0,3.2,0.6,5.9,MONTELIMAR,2000,1
2000-01-21,21,9.2,0.62,1.0258,0.67,0.0,4.0,1.7,6.4,MONTELIMAR,2000,1
2000-01-22,22,5.4,0.72,1.0177,0.51,0.0,5.5,3.6,7.4,MONTELIMAR,2000,1
2000-01-23,23,6.5,0.69,1.0154,0.68,0.0,4.6,1.6,7.7,MONTELIMAR,2000,1
2000-01-24,24,7.6,0.63,1.0175,0.81,0.0,4.0,2.6,5.4,MONTELIMAR,2000,1
2000-01-25,25,5.9,0.7,1.0252,0.39,0.0,-0.9,-2.1,0.3,MONTELIMAR,2000,1
2000-01-26,26,4.1,0.73,1.0325,0.88,0.0,-0.7,-4.2,2.8,MONTELIMAR,2000,1
2000-01-27,27,1.2,0.86,1.0332,0.58,0.12,-0.9,-4.6,2.7,MONTELIMAR,2000,1
2000-01-28,28,2.9,0.82,1.0268,0.91,0.0,1.9,-4.6,8.3,MONTELIMAR,2000,1
2000-01-29,29,1.5,0.85,1.0244,0.68,0.0,2.4,-2.6,7.4,MONTELIMAR,2000,1
2000-01-30,30,5.4,0.77,1.0276,0.95,0.0,7.6,0.3,15.0,MONTELIMAR,2000,1
2000-01-31,31,5.6,0.7,1.0288,0.93,0.0,11.2,8.5,13.8,MONTELIMAR,2000,1
2000-02-01,32,1.9,0.85,1.027,0.9,0.3,7.4,0.1,14.6,MONTELIMAR,2000,2
2000-02-02,33,2.2,0.92,1.0234,0.12,0.28,9.2,6.9,11.5,MONTELIMAR,2000,2
2000-02-03,34,9.4,0.68,1.0327,1.08,0.0,8.2,6.7,9.7,MONTELIMAR,2000,2
2000-02-04,35,4.9,0.71,1.0376,1.08,0.0,7.2,3.2,11.1,MONTELIMAR,2000,2
2000-02-05,36,1.2,0.81,1.0347,0.9,0.0,5.8,-1.5,13.2,MONTELIMAR,2000,2
2000-02-06,37,2.2,0.82,1.0304,0.45,0.02,6.6,1.9,11.4,MONTELIMAR,2000,2
2000-02-07,38,1.2,0.79,1.0269,0.95,0.02,9.2,4.2,14.2,MONTELIMAR,2000,2
2000-02-08,39,1.2,0.8,1.023,0.75,0.0,11.0,5.7,16.2,MONTELIMAR,2000,2
2000-02-09,40,7.1,0.6,1.0291,1.14,0.0,10.5,8.3,12.6,MONTELIMAR,2000,2
2000-02-10,41,3.5,0.66,1.0262,1.19,0.14,9.0,4.1,13.9,MONTELIMAR,2000,2
2000-02-11,42,6.6,0.77,1.0255,0.73,0.02,7.2,5.9,8.4,MONTELIMAR,2000,2
2000-02-12,43,6.4,0.61,1.0287,1.2,0.0,7.0,5.3,8.8,MONTELIMAR,2000,2
2000-02-13,44,4.0,0.71,1.0262,0.85,0.0,6.4,2.5,10.3,MONTELIMAR,2000,2
2000-02-14,45,5.9,0.76,1.0244,1.22,0.0,9.4,6.6,12.3,MONTELIMAR,2000,2
2000-02-15,46,3.2,0.74,1.0222,1.01,0.0,10.8,5.7,15.8,MONTELIMAR,2000,2
2000-02-16,47,2.9,0.66,1.0144,0.72,0.0,8.6,4.8,12.4,MONTELIMAR,2000,2
2000-02-17,48,2.4,0.82,1.0167,0.57,0.1,3.8,0.2,7.4,MONTELIMAR,2000,2
2000-02-18,49,1.6,0.78,1.0183,0.42,0.12,6.6,3.5,9.6,MONTELIMAR,2000,2
2000-02-19,50,3.2,0.78,1.0162,1.01,0.24,9.6,5.8,13.5,MONTELIMAR,2000,2
2000-02-20,51,7.0,0.57,1.0247,0.97,0.0,6.0,4.5,7.6,MONTELIMAR,2000,2
2000-02-21,52,6.1,0.52,1.0266,1.45,0.0,4.8,0.9,8.8,MONTELIMAR,2000,2
2000-02-22,53,4.1,0.53,1.025,1.11,0.0,5.9,1.6,10.2,MONTELIMAR,2000,2
2000-02-23,54,5.8,0.57,1.0268,1.41,0.0,6.1,1.0,11.2,MONTELIMAR,2000,2
2000-02-24,55,4.1,0.64,1.0299,1.44,0.0,8.3,1.8,14.9,MONTELIMAR,2000,2
2000-02-25,56,2.9,0.7,1.0298,1.47,0.0,8.1,-0.5,16.7,MONTELIMAR,2000,2
2000-02-26,57,3.5,0.71,1.0292,1.43,0.0,11.7,6.6,16.8,MONTELIMAR,2000,2
2000-02-27,58,2.1,0.8,1.0297,1.44,0.0,9.1,2.0,16.2,MONTELIMAR,2000,2
2000-02-28,59,3.2,0.74,1.0288,0.89,0.04,13.0,10.1,15.8,MONTELIMAR,2000,2
2000-02-29,60,2.6,0.88,1.0233,0.08,0.16,9.9,8.3,11.5,MONTELIMAR,2000,2
2000-03-01,61,3.8,0.76,1.0129,0.84,0.18,11.6,8.8,14.4,MONTELIMAR,2000,3
2000-03-02,62,6.9,0.58,1.0259,1.51,0.0,7.6,4.9,10.3,MONTELIMAR,2000,3
2000-03-03,63,2.2,0.61,1.0221,1.6,0.0,8.4,0.8,16.1,MONTELIMAR,2000,3
2000-03-04,64,5.5,0.62,1.0228,1.28,0.0,9.2,6.3,12.0,MONTELIMAR,2000,3
2000-03-05,65,8.0,0.4,1.0306,1.8,0.0,6.8,3.3,10.3,MONTELIMAR,2000,3
2000-03-06,66,3.2,0.5,1.0319,1.7,0.0,8.1,-0.1,16.3,MONTELIMAR,2000,3
2000-03-07,67,1.8,0.64,1.0296,1.57,0.0,11.7,6.1,17.2,MONTELIMAR,2000,3
2000-03-08,68,5.9,0.52,1.0301,1.72,0.0,10.6,4.1,17.1,MONTELIMAR,2000,3
