date,days,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,city,year
2000-01-01,1,8,2.6,9.4,0.91,1.0273,0.2,0.2,0.0,1.7,-0.5,2.6,MUENCHEN,2000
2000-01-02,2,6,2.1,8.2,0.9,1.0321,0.66,0.0,6.1,1.9,-0.2,5.8,MUENCHEN,2000
2000-01-03,3,7,2.1,6.9,0.92,1.0317,0.28,0.0,0.4,-0.4,-3.3,0.9,MUENCHEN,2000
2000-01-04,4,6,2.7,11.7,0.75,1.026,0.58,0.04,4.5,3.8,-2.8,6.6,MUENCHEN,2000
2000-01-05,5,5,3.3,13.2,0.87,1.0248,0.26,0.0,0.2,5.3,4.3,7.3,MUENCHEN,2000
2000-01-06,6,3,0.9,3.5,0.99,1.0256,0.49,0.0,2.8,-1.0,-3.4,4.3,MUENCHEN,2000
2000-01-07,7,5,1.4,6.1,0.82,1.027,0.48,0.0,2.5,3.4,-2.4,7.6,MUENCHEN,2000
2000-01-08,8,2,1.8,5.6,0.78,1.0253,0.58,0.0,4.2,2.7,0.4,8.6,MUENCHEN,2000
2000-01-09,9,8,1.0,3.4,0.91,1.0255,0.21,0.13,0.0,1.8,-1.0,2.5,MUENCHEN,2000
2000-01-10,10,8,1.8,5.5,0.95,1.034,0.21,0.0,0.0,-0.6,-1.6,2.1,MUENCHEN,2000
2000-01-11,11,8,2.3,6.0,0.91,1.0392,0.21,0.0,0.0,-0.6,-1.3,0.0,MUENCHEN,2000
2000-01-12,12,8,2.0,5.8,0.88,1.0346,0.21,0.0,0.0,-2.4,-3.0,-0.2,MUENCHEN,2000
2000-01-13,13,3,1.7,5.4,0.81,1.0259,0.67,0.0,5.2,-2.9,-4.7,0.3,MUENCHEN,2000
2000-01-14,14,0,1.5,3.8,0.83,1.0261,0.8,0.0,7.8,-4.1,-7.8,0.8,MUENCHEN,2000
2000-01-15,15,8,1.2,3.5,0.94,1.0333,0.22,0.0,0.0,-5.8,-7.8,-4.6,MUENCHEN,2000
2000-01-16,16,6,1.5,5.6,0.83,1.0358,0.22,0.0,0.0,-2.9,-5.5,-1.6,MUENCHEN,2000
2000-01-17,17,8,6.7,16.6,0.86,1.0278,0.23,0.65,0.0,1.8,-3.0,3.1,MUENCHEN,2000
2000-01-18,18,8,7.2,20.2,0.96,1.0196,0.23,0.78,0.0,1.7,0.0,3.7,MUENCHEN,2000
2000-01-19,19,3,3.7,9.6,0.81,1.0291,0.72,0.0,5.4,-1.4,-2.2,1.8,MUENCHEN,2000
2000-01-20,20,8,4.5,13.9,0.76,1.0314,0.3,0.0,0.2,-0.6,-2.9,0.5,MUENCHEN,2000
2000-01-21,21,8,7.8,19.6,0.88,1.0241,0.24,0.75,0.0,0.1,-0.5,0.6,MUENCHEN,2000
2000-01-22,22,8,3.8,10.4,0.97,1.0152,0.24,0.52,0.0,0.3,-0.8,0.9,MUENCHEN,2000
2000-01-23,23,7,3.0,8.1,0.92,1.0134,0.29,0.24,0.1,-2.8,-5.5,0.5,MUENCHEN,2000
2000-01-24,24,1,1.8,4.9,0.8,1.0257,0.91,0.0,8.1,-10.2,-12.4,-5.5,MUENCHEN,2000
2000-01-25,25,1,1.1,4.8,0.82,1.0328,0.93,0.0,8.4,-12.2,-16.4,-5.9,MUENCHEN,2000
2000-01-26,26,0,1.2,3.7,0.78,1.0368,0.97,0.0,8.8,-9.2,-15.6,-3.3,MUENCHEN,2000
2000-01-27,27,0,2.2,6.9,0.71,1.0338,0.99,0.0,9.0,-4.3,-10.4,2.2,MUENCHEN,2000
2000-01-28,28,4,3.9,11.4,0.69,1.025,0.84,0.0,6.0,2.2,-9.2,5.2,MUENCHEN,2000
2000-01-29,29,7,9.0,23.4,0.68,1.0126,0.27,0.09,0.0,6.0,3.1,7.2,MUENCHEN,2000
2000-01-30,30,8,8.6,25.4,0.9,1.0153,0.27,0.92,0.0,7.4,6.6,8.2,MUENCHEN,2000
2000-01-31,31,6,7.1,21.4,0.72,1.026,0.62,0.0,2.5,7.6,6.4,10.5,MUENCHEN,2000
2000-02-01,32,2,2.2,8.4,0.63,1.024,1.06,0.0,9.1,8.6,1.2,14.5,MUENCHEN,2000
2000-02-02,33,7,3.6,11.1,0.7,1.0193,0.64,0.44,2.6,7.8,6.4,11.9,MUENCHEN,2000
2000-02-03,34,6,4.3,11.6,0.78,1.0332,0.29,0.0,0.0,3.6,1.4,6.4,MUENCHEN,2000
2000-02-04,35,4,2.3,7.4,0.68,1.0383,1.07,0.3,8.6,3.8,0.6,7.3,MUENCHEN,2000
2000-02-05,36,6,3.2,11.2,0.85,1.0346,0.41,0.47,0.4,7.2,3.3,10.5,MUENCHEN,2000
2000-02-06,37,6,1.7,6.6,0.69,1.0268,0.96,0.0,6.4,8.2,1.2,14.5,MUENCHEN,2000
2000-02-07,38,7,4.4,16.1,0.68,1.0222,0.3,0.02,0.0,7.3,5.9,9.6,MUENCHEN,2000
2000-02-08,39,8,8.1,21.3,0.76,1.014,0.54,0.89,1.1,9.9,6.1,11.8,MUENCHEN,2000
2000-02-09,40,6,6.8,18.9,0.78,1.0223,0.82,0.03,3.9,3.4,1.8,10.4,MUENCHEN,2000
2000-02-10,41,4,3.4,12.0,0.64,1.0269,1.18,0.29,9.0,4.6,2.1,10.1,MUENCHEN,2000
2000-02-11,42,8,2.7,11.1,0.86,1.0281,0.32,0.19,0.0,2.9,1.4,6.0,MUENCHEN,2000
2000-02-12,43,5,2.7,11.4,0.9,1.0279,0.33,0.0,0.0,1.5,0.5,2.9,MUENCHEN,2000
2000-02-13,44,8,6.2,17.4,0.84,1.0226,0.52,0.51,0.7,3.8,1.5,6.7,MUENCHEN,2000
2000-02-14,45,4,2.8,10.2,0.79,1.0253,1.06,0.33,6.3,3.4,0.1,5.9,MUENCHEN,2000
2000-02-15,46,8,4.3,11.7,0.88,1.0186,0.34,0.15,0.0,6.3,3.9,7.4,MUENCHEN,2000
2000-02-16,47,7,4.8,18.5,0.74,1.0073,0.65,0.28,1.5,3.5,1.4,6.7,MUENCHEN,2000
2000-02-17,48,7,5.4,14.0,0.79,1.01,0.63,0.16,1.3,0.0,-0.9,2.1,MUENCHEN,2000
2000-02-18,49,5,4.0,11.9,0.84,1.0124,0.5,0.46,0.4,2.2,-1.2,4.5,MUENCHEN,2000
2000-02-19,50,7,4.3,14.6,0.92,1.0088,0.56,0.56,0.7,3.3,2.0,5.4,MUENCHEN,2000
2000-02-20,51,8,4.0,10.6,0.97,1.0221,0.37,0.37,0.0,0.2,-0.5,2.8,MUENCHEN,2000
2000-02-21,52,7,2.5,8.9,0.79,1.0315,0.95,0.05,3.8,-0.8,-2.8,1.8,MUENCHEN,2000
2000-02-22,53,5,1.5,4.8,0.69,1.0282,1.02,0.0,4.4,0.3,-3.3,3.5,MUENCHEN,2000
2000-02-23,54,7,2.5,6.6,0.72,1.0286,0.77,0.0,1.9,2.0,-0.9,4.7,MUENCHEN,2000
2000-02-24,55,8,3.9,12.1,0.72,1.0292,0.46,0.53,0.1,4.6,1.7,7.1,MUENCHEN,2000
2000-02-25,56,7,5.3,22.0,0.84,1.0264,0.55,0.4,0.4,6.4,4.7,9.8,MUENCHEN,2000
2000-02-26,57,6,1.5,5.0,0.76,1.0331,1.2,0.01,5.9,4.3,0.1,8.4,MUENCHEN,2000
2000-02-27,58,1,1.9,6.6,0.69,1.0302,1.56,0.0,10.4,7.3,1.7,14.0,MUENCHEN,2000
2000-02-28,59,1,2.4,7.3,0.37,1.0221,1.59,0.01,10.5,11.3,1.4,19.6,MUENCHEN,2000
2000-02-29,60,8,1.7,6.6,0.74,1.0183,0.8,0.05,1.7,8.4,6.6,11.5,MUENCHEN,2000
2000-03-01,61,8,4.1,14.1,0.83,1.0067,0.43,0.39,0.0,4.8,2.6,8.4,MUENCHEN,2000
2000-03-02,62,5,4.4,13.9,0.78,1.0228,1.17,0.04,4.7,2.0,0.7,5.0,MUENCHEN,2000
2000-03-03,63,7,7.5,19.9,0.52,1.0154,1.34,0.35,6.1,7.2,1.1,9.8,MUENCHEN,2000
2000-03-04,64,7,6.3,18.6,0.81,1.019,0.92,0.16,2.4,1.4,-0.5,7.8,MUENCHEN,2000
2000-03-05,65,5,4.9,14.2,0.66,1.0342,0.89,0.0,2.1,-0.3,-2.7,1.9,MUENCHEN,2000
2000-03-06,66,1,1.9,6.0,0.48,1.0327,1.86,0.0,11.0,3.5,-2.1,9.7,MUENCHEN,2000
2000-03-07,67,2,3.6,11.8,0.56,1.0283,1.86,0.03,10.8,6.5,-0.8,11.6,MUENCHEN,2000
2000-03-08,68,8,7.7,18.5,0.69,1.026,0.47,0.01,0.0,9.1,6.1,10.9,MUENCHEN,2000
2000-03-09,69,7,8.7,19.8,0.64,1.0224,0.78,0.18,1.2,11.6,9.2,15.2,MUENCHEN,2000
2000-03-10,70,8,5.3,15.5,0.84,1.0254,0.65,0.07,0.5,7.4,5.9,10.4,MUENCHEN,2000
2000-03-11,71,7,6.8,18.2,0.67,1.0186,0.64,0.02,0.4,9.4,7.2,13.0,MUENCHEN,2000
