date,days,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,city,year
2000-01-01,1,7,0.9,5.1,0.94,1.013,0.04,0.6,0.0,-5.0,-8.6,-3.2,OSLO,2000
2000-01-02,2,6,1.9,5.7,0.94,1.0076,0.11,0.0,1.6,-0.8,-6.7,2.4,OSLO,2000
2000-01-03,3,6,1.7,8.7,0.88,1.0016,0.04,0.0,0.0,1.2,-1.1,3.8,OSLO,2000
2000-01-04,4,1,3.4,11.8,0.58,0.9982,0.13,0.0,5.3,2.1,-0.5,5.1,OSLO,2000
2000-01-05,5,8,1.2,5.7,0.94,1.0055,0.05,0.06,0.0,-0.7,-4.0,0.5,OSLO,2000
2000-01-06,6,8,7.0,17.0,0.9,0.995,0.05,0.13,0.0,5.3,-0.1,6.5,OSLO,2000
2000-01-07,7,8,5.3,15.9,0.76,1.0018,0.05,0.0,0.0,3.8,0.4,6.0,OSLO,2000
2000-01-08,8,4,6.0,17.5,0.78,0.994,0.18,0.0,4.7,5.5,4.3,6.4,OSLO,2000
2000-01-09,9,1,2.9,10.8,0.9,1.0094,0.13,0.0,5.6,1.6,-0.2,5.0,OSLO,2000
2000-01-10,10,5,1.5,6.2,0.89,1.0218,0.11,0.0,2.2,-0.6,-3.6,2.5,OSLO,2000
2000-01-11,11,3,0.8,9.8,0.94,1.0191,0.09,0.0,2.8,1.6,0.4,4.8,OSLO,2000
2000-01-12,12,8,0.7,9.8,0.96,1.011,0.03,0.0,0.0,3.0,-0.2,4.7,OSLO,2000
2000-01-13,13,6,1.2,5.7,0.79,1.0146,0.03,0.0,0.0,1.5,1.0,2.8,OSLO,2000
2000-01-14,14,5,2.7,9.3,0.65,1.0278,0.08,0.0,3.1,-0.5,-2.6,1.7,OSLO,2000
2000-01-15,15,4,1.4,3.6,0.84,1.0278,0.15,0.06,4.0,-3.7,-6.4,-1.5,OSLO,2000
2000-01-16,16,5,1.3,5.1,0.96,1.0158,0.02,0.0,0.0,-1.8,-3.2,0.2,OSLO,2000
