date,days,wind_speed,humidity,pressure,global_radiation,precipitation,temp_mean,temp_min,temp_max,city
2000-01-01,1,4.4,0.71,1.0267,0.6,0.0,12.2,10.3,14.0,PERPIGNAN
2000-01-02,2,2.9,0.67,1.0278,0.96,0.0,9.8,5.1,14.6,PERPIGNAN
2000-01-03,3,2.5,0.85,1.0288,0.93,0.0,8.6,4.1,13.2,PERPIGNAN
2000-01-04,4,1.5,0.85,1.0269,0.56,0.02,8.6,4.3,12.8,PERPIGNAN
2000-01-05,5,2.6,0.74,1.0219,0.83,0.02,9.2,3.6,14.9,PERPIGNAN
2000-01-06,6,2.9,0.85,1.0231,0.86,0.0,7.4,1.8,13.0,PERPIGNAN
2000-01-07,7,3.8,0.56,1.0248,0.98,0.0,9.9,3.0,16.8,PERPIGNAN
2000-01-08,8,0.9,0.83,1.0239,0.45,0.02,9.1,5.9,12.3,PERPIGNAN
2000-01-09,9,4.2,0.84,1.0234,0.22,0.5,9.0,7.7,10.2,PERPIGNAN
2000-01-10,10,6.5,0.58,1.0301,0.75,0.0,9.2,7.3,11.2,PERPIGNAN
2000-01-11,11,3.1,0.63,1.0337,1.01,0.0,6.7,2.6,10.8,PERPIGNAN
2000-01-12,12,1.5,0.82,1.0292,1.0,0.0,3.2,-2.5,8.8,PERPIGNAN
2000-01-13,13,1.8,0.9,1.0206,0.4,0.02,2.0,-3.6,7.7,PERPIGNAN
2000-01-14,14,2.9,0.84,1.0157,0.82,1.58,5.0,-2.3,12.3,PERPIGNAN
2000-01-15,15,3.0,0.94,1.0222,0.31,0.86,8.2,6.7,9.8,PERPIGNAN
2000-01-16,16,1.6,0.85,1.0252,0.97,0.0,7.7,4.2,11.2,PERPIGNAN
2000-01-17,17,8.5,0.55,1.026,1.06,0.0,7.9,3.9,11.9,PERPIGNAN
2000-01-18,18,13.4,0.53,1.0191,1.14,0.0,9.2,6.5,12.0,PERPIGNAN
2000-01-19,19,10.9,0.54,1.0221,1.12,0.0,8.0,5.3,10.7,PERPIGNAN
2000-01-20,20,5.1,0.51,1.0283,1.12,0.0,6.8,3.3,10.2,PERPIGNAN
