date,days,cloud_cover,humidity,pressure,global_radiation,sunshine,temp_mean,temp_min,temp_max,city,year,month
2000-01-01,1,0,0.72,1.0244,0.92,8.4,1.6,3.0,8.0,ROMA,2000,1
2000-01-02,2,2,0.74,1.0263,0.81,6.5,4.2,0.0,8.4,ROMA,2000,1
2000-01-03,3,0,0.77,1.0288,0.89,0.0,3.8,11.1,21.1,ROMA,2000,1
2000-01-04,4,1,0.85,1.0273,0.89,8.2,6.0,2.0,10.0,ROMA,2000,1
2000-01-05,5,2,0.92,1.0238,0.74,7.5,5.0,-1.2,11.2,ROMA,2000,1
2000-01-06,6,0,0.89,1.0246,0.86,8.0,5.4,0.0,10.8,ROMA,2000,1
2000-01-07,7,3,0.89,1.0245,0.87,6.8,6.7,2.2,11.2,ROMA,2000,1
2000-01-08,8,5,0.9,1.0245,0.62,3.0,6.2,0.8,11.6,ROMA,2000,1
2000-01-09,9,7,0.88,1.0236,0.26,0.0,7.0,4.2,9.8,ROMA,2000,1
2000-01-10,10,5,0.85,1.0264,0.81,6.3,8.5,3.8,13.2,ROMA,2000,1
2000-01-11,11,3,0.89,1.0301,0.75,6.2,6.0,2.0,10.0,ROMA,2000,1
2000-01-12,12,7,0.92,1.0281,0.27,1.0,5.5,11.1,21.1,ROMA,2000,1
2000-01-13,13,7,0.93,1.0222,0.25,1.5,6.4,11.1,21.1,ROMA,2000,1
2000-01-14,14,7,0.77,1.0168,0.27,0.2,9.4,11.1,21.1,ROMA,2000,1
2000-01-15,15,7,0.8,1.0213,0.71,4.0,8.5,4.6,12.4,ROMA,2000,1
2000-01-16,16,4,0.86,1.0221,0.88,6.2,6.3,1.8,10.8,ROMA,2000,1
2000-01-17,17,4,0.71,1.0188,0.97,7.4,4.5,11.1,21.1,ROMA,2000,1
2000-01-18,18,3,0.87,1.0088,0.88,6.7,6.3,0.8,11.8,ROMA,2000,1
2000-01-19,19,1,0.55,1.014,1.08,8.6,5.8,0.2,11.4,ROMA,2000,1
2000-01-20,20,1,0.58,1.0267,1.01,8.8,2.7,3.0,10.4,ROMA,2000,1
2000-01-21,21,6,0.92,1.0194,0.33,1.0,6.7,11.1,21.1,ROMA,2000,1
2000-01-22,22,4,0.93,1.0135,0.36,1.2,4.9,11.1,21.1,ROMA,2000,1
2000-01-23,23,6,0.85,0.9999,0.48,3.0,5.5,11.1,21.1,ROMA,2000,1
2000-01-24,24,1,0.7,1.0105,1.07,8.4,4.6,1.2,8.0,ROMA,2000,1
2000-01-25,25,2,0.64,1.022,1.01,7.8,0.7,3.8,6.0,ROMA,2000,1
2000-01-26,26,5,0.82,1.0298,0.56,3.0,0.5,4.0,5.8,ROMA,2000,1
2000-01-27,27,0,0.8,1.0333,1.11,8.9,1.2,3.6,8.0,ROMA,2000,1
2000-01-28,28,4,0.91,1.0274,0.44,1.7,1.7,11.1,21.1,ROMA,2000,1
2000-01-29,29,7,0.95,1.0217,0.47,2.7,7.9,11.1,21.1,ROMA,2000,1
2000-01-30,30,3,0.85,1.0196,1.09,8.4,9.0,3.8,14.2,ROMA,2000,1
2000-01-31,31,3,0.92,1.028,0.51,2.2,7.3,1.2,13.4,ROMA,2000,1
2000-02-01,32,7,0.91,1.0295,0.58,2.7,10.4,7.2,13.6,ROMA,2000,2
2000-02-02,33,6,0.91,1.0241,0.57,1.7,9.3,11.1,21.1,ROMA,2000,2
2000-02-03,34,6,0.95,1.0213,0.24,8.4,9.9,11.1,21.1,ROMA,2000,2
2000-02-04,35,1,0.67,1.0323,1.11,6.8,8.0,2.4,13.6,ROMA,2000,2
2000-02-05,36,1,0.68,1.0347,1.26,9.0,6.6,0.8,12.4,ROMA,2000,2
2000-02-06,37,0,0.86,1.0311,1.23,9.0,6.9,0.6,13.2,ROMA,2000,2
2000-02-07,38,4,0.88,1.0269,0.88,3.4,6.6,1.0,12.2,ROMA,2000,2
2000-02-08,39,6,0.92,1.0232,0.54,1.4,8.3,11.1,21.1,ROMA,2000,2
2000-02-09,40,6,0.9,1.0148,0.62,3.0,10.8,11.1,21.1,ROMA,2000,2
2000-02-10,41,2,0.45,1.017,1.37,8.7,8.5,4.0,13.0,ROMA,2000,2
2000-02-11,42,2,0.74,1.0215,1.26,8.5,7.0,0.2,13.8,ROMA,2000,2
2000-02-12,43,7,0.9,1.0219,0.62,1.8,7.1,11.1,21.1,ROMA,2000,2
2000-02-13,44,2,0.81,1.0214,1.33,8.5,8.1,2.8,13.4,ROMA,2000,2
2000-02-14,45,2,0.79,1.0203,1.29,8.1,9.0,2.4,15.6,ROMA,2000,2
2000-02-15,46,5,0.9,1.0211,0.73,3.0,7.1,1.6,12.6,ROMA,2000,2
2000-02-16,47,6,0.89,1.0119,0.92,4.7,11.6,11.1,21.1,ROMA,2000,2
2000-02-17,48,7,0.76,1.0035,1.18,4.5,7.0,11.1,21.1,ROMA,2000,2
2000-02-18,49,1,0.62,1.0147,1.51,9.7,4.8,11.1,21.1,ROMA,2000,2
2000-02-19,50,7,0.83,1.0101,0.97,5.7,9.7,11.1,21.1,ROMA,2000,2
2000-02-20,51,2,0.79,1.0099,1.53,8.8,8.5,2.6,14.4,ROMA,2000,2
2000-02-21,52,2,0.56,1.0208,1.54,9.5,7.2,1.6,12.8,ROMA,2000,2
2000-02-22,53,4,0.77,1.0237,1.2,6.4,5.6,0.0,11.2,ROMA,2000,2
2000-02-23,54,2,0.77,1.0233,1.48,8.9,5.7,0.2,11.2,ROMA,2000,2
2000-02-24,55,1,0.64,1.0275,1.59,9.5,5.1,11.1,21.1,ROMA,2000,2
2000-02-25,56,1,0.76,1.0308,1.55,9.8,5.6,11.1,21.1,ROMA,2000,2
2000-02-26,57,8,0.91,1.03,0.58,0.0,9.4,5.6,13.2,ROMA,2000,2
2000-02-27,58,6,0.88,1.0296,0.91,1.8,10.5,6.4,14.6,ROMA,2000,2
2000-02-28,59,3,0.82,1.031,1.52,8.0,10.2,4.6,15.8,ROMA,2000,2
2000-02-29,60,3,0.84,1.0296,1.21,5.4,8.7,3.0,14.4,ROMA,2000,2
2000-03-01,61,7,0.89,1.0159,0.59,1.0,10.5,11.1,21.1,ROMA,2000,3
2000-03-02,62,5,0.78,1.009,0.82,3.2,10.2,11.1,21.1,ROMA,2000,3
2000-03-03,63,2,0.65,1.0229,1.8,10.0,7.8,1.0,14.6,ROMA,2000,3
2000-03-04,64,7,0.81,1.0192,0.95,1.7,11.9,11.1,21.1,ROMA,2000,3
2000-03-05,65,4,0.75,1.021,1.66,9.7,12.1,7.0,17.2,ROMA,2000,3
2000-03-06,66,5,0.76,1.0335,1.44,7.0,8.9,4.6,13.2,ROMA,2000,3
2000-03-07,67,2,0.81,1.0319,1.56,8.7,8.1,2.2,14.0,ROMA,2000,3
2000-03-08,68,3,0.8,1.0293,1.7,8.8,9.6,3.8,15.4,ROMA,2000,3
2000-03-09,69,2,0.83,1.0277,1.73,9.6,9.3,3.4,15.2,ROMA,2000,3
2000-03-10,70,8,0.89,1.0218,0.57,0.0,12.1,9.6,14.6,ROMA,2000,3
2000-03-11,71,7,0.87,1.0211,0.65,0.2,12.1,9.6,14.6,ROMA,2000,3
2000-03-12,72,6,0.83,1.0195,0.7,1.0,11.9,8.8,15.0,ROMA,2000,3
2000-03-13,73,5,0.83,1.0231,1.22,3.2,11.6,11.1,21.1,ROMA,2000,3
2000-03-14,74,4,0.85,1.0232,1.54,7.0,11.7,6.4,17.0,ROMA,2000,3
2000-03-15,75,7,0.87,1.0163,1.08,2.2,13.2,10.2,16.2,ROMA,2000,3
2000-03-16,76,2,0.62,1.0166,2.11,10.6,11.3,5.4,17.2,ROMA,2000,3
2000-03-17,77,3,0.77,1.0166,1.99,9.6,9.3,3.6,15.0,ROMA,2000,3
2000-03-18,78,3,0.83,1.0143,1.65,8.4,10.9,5.0,16.8,ROMA,2000,3
2000-03-19,79,5,0.7,1.0215,1.09,4.1,9.0,11.1,21.1,ROMA,2000,3
2000-03-20,80,8,0.9,1.0219,0.2,0.0,6.1,11.1,21.1,ROMA,2000,3
2000-03-21,81,2,0.73,1.0215,2.13,10.5,7.6,1.0,14.2,ROMA,2000,3
2000-03-22,82,1,0.8,1.0227,1.92,9.5,8.9,2.8,15.0,ROMA,2000,3
2000-03-23,83,1,0.82,1.0218,2.16,10.0,9.3,3.0,15.6,ROMA,2000,3
2000-03-24,84,6,0.84,1.0198,1.19,1.0,10.0,11.1,21.1,ROMA,2000,3
2000-03-25,85,8,0.92,1.0189,0.58,0.0,10.7,11.1,21.1,ROMA,2000,3
2000-03-26,86,6,0.88,1.0158,1.77,7.5,12.4,11.1,21.1,ROMA,2000,3
2000-03-27,87,6,0.85,1.0101,1.16,2.2,11.7,11.1,21.1,ROMA,2000,3
2000-03-28,88,7,0.8,1.0092,0.9,0.0,13.0,11.1,21.1,ROMA,2000,3
2000-03-29,89,7,0.85,1.0101,0.89,2.7,12.4,11.1,21.1,ROMA,2000,3
2000-03-30,90,4,0.77,1.0168,2.09,10.2,10.1,5.6,14.6,ROMA,2000,3
2000-03-31,91,5,0.7,1.0125,2.05,8.2,11.0,4.8,17.2,ROMA,2000,3
2000-04-01,92,5,0.79,1.0063,1.87,7.4,11.9,11.1,21.1,ROMA,2000,4
2000-04-02,93,4,0.74,1.0095,2.01,7.2,11.3,11.1,21.1,ROMA,2000,4
2000-04-03,94,7,0.64,0.9997,0.63,0.0,16.0,11.1,21.1,ROMA,2000,4
2000-04-04,95,7,0.91,0.999,0.62,0.2,13.1,11.1,21.1,ROMA,2000,4
2000-04-05,96,5,0.86,1.0037,1.84,7.5,12.9,11.1,21.1,ROMA,2000,4
2000-04-06,97,5,0.85,1.0127,2.33,10.4,12.6,11.1,21.1,ROMA,2000,4
2000-04-07,98,2,0.69,1.018,2.43,11.0,11.8,5.6,18.0,ROMA,2000,4
2000-04-08,99,3,0.7,1.0214,2.55,10.0,10.4,4.8,16.0,ROMA,2000,4
2000-04-09,100,7,0.76,1.0148,0.76,0.0,10.4,11.1,21.1,ROMA,2000,4
2000-04-10,101,8,0.9,1.0062,0.44,0.0,11.6,11.1,21.1,ROMA,2000,4
2000-04-11,102,7,0.91,1.0028,1.09,1.1,12.7,11.1,21.1,ROMA,2000,4
2000-04-12,103,5,0.86,1.0044,2.06,9.5,12.7,8.4,17.0,ROMA,2000,4
2000-04-13,104,4,0.83,1.0103,2.2,7.0,14.6,10.6,18.6,ROMA,2000,4
2000-04-14,105,6,0.68,1.0091,1.58,1.0,15.2,10.2,20.2,ROMA,2000,4
2000-04-15,106,5,0.73,1.0065,2.28,10.2,16.0,12.0,20.0,ROMA,2000,4
2000-04-16,107,4,0.76,1.0099,2.05,5.8,14.8,9.0,20.6,ROMA,2000,4
2000-04-17,108,7,0.69,1.0036,1.58,2.3,16.9,11.0,22.8,ROMA,2000,4
2000-04-18,109,8,0.9,1.0049,0.63,0.0,14.1,11.1,21.1,ROMA,2000,4
2000-04-19,110,6,0.81,1.0065,1.91,3.5,14.7,10.4,19.0,ROMA,2000,4
2000-04-20,111,5,0.81,1.009,2.24,7.4,15.7,8.8,22.6,ROMA,2000,4
2000-04-21,112,1,0.74,1.0138,2.6,11.6,19.4,11.6,27.2,ROMA,2000,4
2000-04-22,113,3,0.88,1.0179,1.96,6.3,16.7,12.4,21.0,ROMA,2000,4
2000-04-23,114,4,0.87,1.0162,2.11,6.9,16.2,10.0,22.4,ROMA,2000,4
2000-04-24,115,7,0.77,1.0136,1.69,7.5,14.1,11.4,16.8,ROMA,2000,4
2000-04-25,116,5,0.75,1.0144,1.86,9.6,14.1,9.0,19.2,ROMA,2000,4
2000-04-26,117,2,0.81,1.0159,2.5,10.8,15.3,8.6,22.0,ROMA,2000,4
2000-04-27,118,5,0.86,1.0132,1.4,0.5,16.2,10.0,22.4,ROMA,2000,4
2000-04-28,119,7,0.81,1.0103,1.2,1.5,16.8,11.1,21.1,ROMA,2000,4
2000-04-29,120,7,0.91,1.0132,0.4,0.0,14.3,11.1,21.1,ROMA,2000,4
2000-04-30,121,5,0.87,1.0167,1.96,6.4,14.5,8.6,20.4,ROMA,2000,4
2000-05-01,122,4,0.84,1.0137,2.27,8.0,16.1,10.0,22.2,ROMA,2000,5
2000-05-02,123,6,0.93,1.0125,1.37,2.5,16.6,12.4,20.8,ROMA,2000,5
2000-05-03,124,4,0.85,1.0154,2.18,6.6,16.6,11.0,22.2,ROMA,2000,5
2000-05-04,125,5,0.85,1.018,2.59,9.8,18.0,13.0,23.0,ROMA,2000,5
2000-05-05,126,5,0.89,1.0168,1.1,0.1,15.8,11.6,20.0,ROMA,2000,5
2000-05-06,127,3,0.7,1.0157,2.6,9.2,18.2,12.4,24.0,ROMA,2000,5
2000-05-07,128,7,0.83,1.0169,0.94,0.9,19.6,14.2,25.0,ROMA,2000,5
2000-05-08,129,3,0.78,1.0189,2.69,9.2,19.7,14.0,25.4,ROMA,2000,5
2000-05-09,130,5,0.83,1.0193,0.72,0.0,17.8,13.6,22.0,ROMA,2000,5
2000-05-10,131,5,0.63,1.0175,2.1,5.0,20.4,13.6,27.2,ROMA,2000,5
2000-05-11,132,4,0.79,1.0185,1.93,5.2,19.7,14.2,25.2,ROMA,2000,5
2000-05-12,133,2,0.78,1.018,2.5,10.0,20.1,14.6,25.6,ROMA,2000,5
2000-05-13,134,5,0.76,1.0179,2.94,11.5,19.8,13.8,25.8,ROMA,2000,5
2000-05-14,135,5,0.73,1.0182,2.32,7.4,20.5,15.0,26.0,ROMA,2000,5
2000-05-15,136,4,0.75,1.0184,2.15,9.2,18.9,13.0,24.8,ROMA,2000,5
2000-05-16,137,1,0.7,1.0185,2.93,12.2,19.9,13.8,26.0,ROMA,2000,5
2000-05-17,138,1,0.62,1.0169,3.0,12.5,19.7,13.0,26.4,ROMA,2000,5
2000-05-18,139,2,0.68,1.0138,3.01,12.4,19.1,12.6,25.6,ROMA,2000,5
2000-05-19,140,4,0.78,1.0106,2.41,10.8,18.9,15.2,22.6,ROMA,2000,5
2000-05-20,141,2,0.73,1.01,3.06,12.0,17.9,13.0,22.8,ROMA,2000,5
2000-05-21,142,5,0.79,1.0132,2.51,10.2,19.0,13.6,24.4,ROMA,2000,5
2000-05-22,143,5,0.81,1.0146,2.02,4.4,19.8,15.6,24.0,ROMA,2000,5
2000-05-23,144,3,0.77,1.0166,2.79,12.0,20.4,15.2,25.6,ROMA,2000,5
2000-05-24,145,4,0.74,1.017,2.75,10.2,20.1,15.0,25.2,ROMA,2000,5
2000-05-25,146,3,0.64,1.0163,2.81,11.6,20.2,13.8,26.6,ROMA,2000,5
2000-05-26,147,4,0.7,1.0162,2.54,11.5,21.2,15.0,27.4,ROMA,2000,5
2000-05-27,148,3,0.82,1.0153,2.66,10.1,21.3,16.4,26.2,ROMA,2000,5
2000-05-28,149,4,0.82,1.0153,2.6,10.0,19.0,15.0,23.0,ROMA,2000,5
2000-05-29,150,4,0.82,1.0144,2.75,10.4,19.9,15.6,24.2,ROMA,2000,5
2000-05-30,151,2,0.75,1.0153,3.02,12.5,21.8,17.0,26.6,ROMA,2000,5
2000-05-31,152,3,0.76,1.0157,2.43,6.7,20.6,14.8,26.4,ROMA,2000,5
2000-06-01,153,2,0.7,1.0191,2.89,12.4,21.4,15.0,27.8,ROMA,2000,6
2000-06-02,154,1,0.7,1.0207,3.02,12.0,21.4,15.4,27.4,ROMA,2000,6
2000-06-03,155,0,0.53,1.0193,3.03,12.4,22.3,16.0,28.6,ROMA,2000,6
2000-06-04,156,1,0.64,1.0189,3.02,12.5,22.1,16.0,28.2,ROMA,2000,6
2000-06-05,157,1,0.34,1.0183,3.02,12.0,22.3,15.4,29.2,ROMA,2000,6
2000-06-06,158,4,0.73,1.0143,2.56,8.6,22.4,16.0,28.8,ROMA,2000,6
2000-06-07,159,7,0.73,1.0132,1.53,3.5,19.5,13.0,26.0,ROMA,2000,6
2000-06-08,160,5,0.73,1.0164,2.78,9.2,24.0,17.0,31.0,ROMA,2000,6
2000-06-09,161,3,0.73,1.0175,2.62,8.2,23.6,15.8,31.4,ROMA,2000,6
2000-06-10,162,2,0.73,1.0151,2.87,9.8,23.8,17.2,30.4,ROMA,2000,6
2000-06-11,163,7,0.73,1.0136,0.94,0.3,21.2,16.8,25.6,ROMA,2000,6
2000-06-12,164,5,0.73,1.019,2.4,7.0,21.3,15.6,27.0,ROMA,2000,6
2000-06-13,165,2,0.18,1.0231,3.03,12.2,21.7,15.8,27.6,ROMA,2000,6
2000-06-14,166,2,0.64,1.0215,3.08,12.5,22.5,15.0,30.0,ROMA,2000,6
2000-06-15,167,4,0.68,1.0176,2.58,8.7,23.6,18.2,29.0,ROMA,2000,6
2000-06-16,168,3,0.76,1.014,2.31,7.5,22.6,15.8,29.4,ROMA,2000,6
2000-06-17,169,2,0.71,1.0178,2.58,11.0,22.9,15.8,30.0,ROMA,2000,6
2000-06-18,170,0,0.37,1.0241,3.33,12.4,21.3,14.6,28.0,ROMA,2000,6
2000-06-19,171,0,0.55,1.0231,3.14,12.7,20.9,13.6,28.2,ROMA,2000,6
2000-06-20,172,0,0.49,1.0213,3.11,13.0,21.7,15.2,28.2,ROMA,2000,6
2000-06-21,173,1,0.58,1.0201,3.14,12.1,22.8,16.0,29.6,ROMA,2000,6
2000-06-22,174,0,0.58,1.0204,3.21,13.6,22.3,15.0,29.6,ROMA,2000,6
2000-06-23,175,1,0.63,1.0186,3.04,11.8,23.0,16.8,29.2,ROMA,2000,6
2000-06-24,176,3,0.71,1.015,2.75,10.8,22.9,17.8,28.0,ROMA,2000,6
2000-06-25,177,5,0.81,1.0125,1.72,7.5,20.9,18.0,23.8,ROMA,2000,6
