date,days,cloud_cover,humidity,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,city,year,month
2000-01-01,1,7,0.89,0.82,1.34,0.0,-15.2,-17.0,-13.4,SONNBLICK,2000,1
2000-01-02,2,5,0.86,0.6,0.39,2.8,-13.7,-15.0,-12.3,SONNBLICK,2000,1
2000-01-03,3,3,0.41,0.81,0.0,5.1,-9.2,-12.5,-5.8,SONNBLICK,2000,1
2000-01-04,4,1,0.25,1.05,0.11,8.7,-5.6,-7.0,-4.2,SONNBLICK,2000,1
2000-01-05,5,4,0.77,0.69,0.17,3.4,-7.6,-9.4,-5.8,SONNBLICK,2000,1
2000-01-06,6,0,0.45,0.89,0.0,8.7,-6.6,-9.4,-3.8,SONNBLICK,2000,1
2000-01-07,7,2,0.36,0.87,0.0,8.4,-7.9,-9.2,-6.5,SONNBLICK,2000,1
2000-01-08,8,0,0.53,0.91,0.0,8.8,-8.5,-9.6,-7.4,SONNBLICK,2000,1
2000-01-09,9,4,0.59,0.75,0.2,5.2,-10.6,-11.9,-9.2,SONNBLICK,2000,1
2000-01-10,10,8,0.97,0.25,0.38,0.0,-13.3,-15.0,-11.6,SONNBLICK,2000,1
2000-01-11,11,3,0.83,0.91,0.0,5.8,-14.3,-15.1,-13.4,SONNBLICK,2000,1
2000-01-12,12,1,0.38,0.95,0.0,9.0,-13.0,-14.8,-11.2,SONNBLICK,2000,1
2000-01-13,13,0,0.19,0.86,0.0,9.0,-11.6,-13.0,-10.2,SONNBLICK,2000,1
2000-01-14,14,1,0.65,0.95,0.0,8.9,-11.6,-13.2,-9.9,SONNBLICK,2000,1
2000-01-15,15,1,0.52,0.96,0.0,9.1,-8.9,-10.2,-7.6,SONNBLICK,2000,1
2000-01-16,16,1,0.75,1.04,0.0,8.7,-13.6,-17.0,-10.2,SONNBLICK,2000,1
2000-01-17,17,8,0.94,0.51,0.95,0.0,-12.8,-17.2,-8.4,SONNBLICK,2000,1
2000-01-18,18,8,0.9,0.22,2.49,0.0,-11.7,-14.1,-9.3,SONNBLICK,2000,1
2000-01-19,19,7,0.85,0.65,0.12,0.6,-17.7,-21.2,-14.1,SONNBLICK,2000,1
2000-01-20,20,5,0.88,1.14,0.14,7.5,-18.0,-21.2,-14.8,SONNBLICK,2000,1
2000-01-21,21,8,0.9,0.31,2.22,0.0,-15.8,-16.2,-15.4,SONNBLICK,2000,1
2000-01-22,22,8,0.88,0.69,0.67,0.0,-15.9,-17.3,-14.5,SONNBLICK,2000,1
2000-01-23,23,8,0.91,0.77,0.57,0.0,-17.7,-19.2,-16.1,SONNBLICK,2000,1
2000-01-24,24,5,0.87,0.66,0.03,1.1,-22.9,-26.5,-19.2,SONNBLICK,2000,1
2000-01-25,25,0,0.66,1.29,0.0,9.4,-23.5,-26.6,-20.4,SONNBLICK,2000,1
2000-01-26,26,0,0.47,1.12,0.0,8.9,-15.8,-20.7,-10.8,SONNBLICK,2000,1
2000-01-27,27,0,0.46,0.97,0.0,9.4,-8.4,-12.0,-4.8,SONNBLICK,2000,1
2000-01-28,28,1,0.6,1.19,0.0,9.3,-13.6,-18.6,-8.5,SONNBLICK,2000,1
2000-01-29,29,6,0.84,0.85,1.75,3.9,-11.0,-14.4,-7.5,SONNBLICK,2000,1
2000-01-30,30,8,0.98,0.31,3.59,0.0,-8.3,-9.3,-7.2,SONNBLICK,2000,1
2000-01-31,31,4,0.86,1.39,0.0,8.9,-6.3,-8.4,-4.2,SONNBLICK,2000,1
2000-02-01,32,1,0.46,1.28,0.0,9.6,-5.3,-8.2,-2.4,SONNBLICK,2000,2
2000-02-02,33,6,0.64,1.03,0.8,5.6,-5.0,-7.3,-2.6,SONNBLICK,2000,2
2000-02-03,34,8,0.96,1.03,1.04,0.0,-10.3,-14.2,-6.4,SONNBLICK,2000,2
2000-02-04,35,1,0.82,1.36,0.14,9.8,-12.3,-15.8,-8.7,SONNBLICK,2000,2
2000-02-05,36,8,0.99,0.82,0.6,0.0,-7.5,-10.0,-5.0,SONNBLICK,2000,2
2000-02-06,37,3,0.7,1.33,0.0,8.3,-5.9,-7.6,-4.2,SONNBLICK,2000,2
2000-02-07,38,6,0.9,1.49,0.34,7.1,-6.7,-7.8,-5.6,SONNBLICK,2000,2
2000-02-08,39,7,0.9,1.33,2.17,5.2,-7.3,-9.7,-4.8,SONNBLICK,2000,2
2000-02-09,40,8,0.94,0.8,2.5,0.0,-11.3,-17.4,-5.2,SONNBLICK,2000,2
