date,days,cloud_cover,pressure,precipitation,sunshine,temp_mean,temp_min,temp_max,city,year,month
2000-01-01,1,8,1.0163,0.17,0.0,-2.3,-9.3,0.7,STOCKHOLM,2000,1
2000-01-02,2,8,1.0108,0.2,0.0,1.3,0.5,2.0,STOCKHOLM,2000,1
2000-01-03,3,7,1.0071,0.08,1.8,0.8,-1.0,2.8,STOCKHOLM,2000,1
2000-01-04,4,2,0.9947,0.0,5.0,3.5,2.5,4.6,STOCKHOLM,2000,1
2000-01-05,5,5,1.0072,0.0,2.2,-0.6,-1.8,2.9,STOCKHOLM,2000,1
2000-01-06,6,6,1.0057,0.0,1.7,2.5,-0.6,4.0,STOCKHOLM,2000,1
2000-01-07,7,6,1.0062,0.0,3.9,2.9,1.7,4.1,STOCKHOLM,2000,1
2000-01-08,8,4,1.0003,0.0,0.9,5.1,3.5,6.4,STOCKHOLM,2000,1
2000-01-09,9,2,1.0107,0.0,1.8,3.9,3.3,5.1,STOCKHOLM,2000,1
2000-01-10,10,3,1.0225,0.0,5.3,1.2,0.0,5.5,STOCKHOLM,2000,1
2000-01-11,11,5,1.0207,0.17,0.0,3.9,0.3,5.5,STOCKHOLM,2000,1
2000-01-12,12,8,1.0138,0.37,0.0,4.4,3.2,5.2,STOCKHOLM,2000,1
2000-01-13,13,8,1.0138,0.03,0.0,3.5,2.4,5.1,STOCKHOLM,2000,1
2000-01-14,14,8,1.0253,0.0,0.0,-0.2,-1.1,3.6,STOCKHOLM,2000,1
2000-01-15,15,4,1.023,0.0,4.4,-1.7,-3.5,0.0,STOCKHOLM,2000,1
2000-01-16,16,5,1.0102,0.0,0.2,1.2,-1.7,3.9,STOCKHOLM,2000,1
2000-01-17,17,3,0.9943,0.0,2.8,3.7,2.9,4.3,STOCKHOLM,2000,1
2000-01-18,18,6,1.0007,0.03,0.6,-0.2,-2.2,3.2,STOCKHOLM,2000,1
2000-01-19,19,4,1.0136,0.02,5.2,-1.4,-4.4,-0.3,STOCKHOLM,2000,1
2000-01-20,20,4,1.0008,0.0,3.9,-0.3,-3.0,2.2,STOCKHOLM,2000,1
2000-01-21,21,4,1.0103,0.44,1.7,-6.8,-8.3,-3.0,STOCKHOLM,2000,1
2000-01-22,22,2,1.0124,0.07,6.0,-10.1,-13.0,-8.3,STOCKHOLM,2000,1
2000-01-23,23,1,1.0176,0.0,6.6,-9.9,-12.1,-7.5,STOCKHOLM,2000,1
2000-01-24,24,8,-0.099,0.02,0.2,-7.9,-12.9,-4.0,STOCKHOLM,2000,1
