date,days,wind_speed,humidity,pressure,global_radiation,precipitation,temp_mean,temp_min,temp_max,city
2000-01-01,1,1.6,0.97,1.0275,0.25,0.04,8.5,7.2,9.8,TOURS
2000-01-02,2,2.0,0.99,1.0293,0.17,0.16,7.9,6.6,9.2,TOURS
2000-01-03,3,3.4,0.91,1.0267,0.27,0.0,8.1,6.6,9.6,TOURS
2000-01-04,4,4.9,0.95,1.0222,0.11,0.44,8.6,6.4,10.8,TOURS
2000-01-05,5,3.6,0.95,1.0209,0.39,0.04,8.0,6.4,9.5,TOURS
2000-01-06,6,3.4,0.92,1.0209,0.55,0.2,7.1,3.5,10.7,TOURS
2000-01-07,7,2.8,0.96,1.0258,0.27,0.0,6.0,3.3,8.8,TOURS
2000-01-08,8,3.6,0.97,1.021,0.18,0.14,8.2,5.3,11.0,TOURS
2000-01-09,9,3.0,0.91,1.028,0.43,0.02,5.6,3.7,7.6,TOURS
2000-01-10,10,1.9,0.94,1.0369,0.58,0.04,1.8,-1.5,5.0,TOURS
2000-01-11,11,1.8,0.98,1.0383,0.2,0.0,-1.4,-2.0,-0.8,TOURS
2000-01-12,12,2.4,0.95,1.0296,0.19,0.0,-0.4,-2.7,2.0,TOURS
2000-01-13,13,3.1,0.92,1.018,0.21,0.08,1.5,-0.6,3.6,TOURS
2000-01-14,14,4.9,0.92,1.0188,0.52,0.0,3.6,1.0,6.1,TOURS
2000-01-15,15,6.8,0.88,1.0297,0.72,0.0,3.5,1.1,5.9,TOURS
2000-01-16,16,6.1,0.83,1.0348,0.65,0.0,1.4,0.0,2.7,TOURS
2000-01-17,17,3.6,0.9,1.0359,0.35,0.0,3.6,0.8,6.3,TOURS
2000-01-18,18,3.5,0.87,1.0321,0.14,0.0,4.2,0.9,7.4,TOURS
2000-01-19,19,4.0,0.81,1.0334,0.36,0.0,4.1,2.2,6.0,TOURS
2000-01-20,20,2.0,0.78,1.0346,0.29,0.0,3.6,2.2,4.9,TOURS
2000-01-21,21,2.0,0.8,1.0324,0.25,0.0,4.2,2.7,5.8,TOURS
2000-01-22,22,4.6,0.87,1.0221,0.31,0.08,3.6,0.7,6.4,TOURS
2000-01-23,23,3.5,0.88,1.0223,0.35,0.0,2.5,0.1,4.9,TOURS
2000-01-24,24,2.6,0.87,1.0234,0.36,0.0,1.0,-0.9,2.9,TOURS
2000-01-25,25,4.9,0.7,1.0272,0.92,0.0,-2.0,-4.5,0.4,TOURS
2000-01-26,26,4.1,0.7,1.0316,0.92,0.0,-1.8,-5.3,1.7,TOURS
